"customerID"	"revenue"	"time_on_site"	"time_on_site_1"	"exp_group"	"nps"	"retargeting"	"conversion"
1	1862	1000	1034	"1"	7	"3"	0
2	2573	996	1023	"1"	2	"1"	1
3	861	854	873	"1"	8	"1"	0
4	1412	742	NA	"0"	8	"1"	0
5	2625	1161	1189	"1"	10	"1"	1
6	1095	791	NA	"0"	10	"1"	1
7	3723	444	465	"1"	10	"3"	1
8	1276	486	510	"1"	10	"2"	1
9	2550	571	601	"1"	10	"1"	0
10	1698	532	NA	"0"	10	"2"	0
11	1915	768	NA	"0"	2	"2"	0
12	72	203	NA	"0"	7	"2"	0
13	2062	1081	1105	"1"	8	"3"	0
14	2242	361	382	"1"	4	"3"	0
15	3241	1067	1095	"1"	2	"3"	1
16	2175	891	926	"1"	9	"2"	0
17	2843	1181	1220	"1"	10	"3"	1
18	1311	636	NA	"0"	9	"3"	0
19	2244	665	NA	"0"	7	"3"	0
20	1373	385	NA	"0"	8	"1"	0
21	1645	840	868	"1"	10	"3"	0
22	1216	694	NA	"0"	10	"1"	0
23	2956	849	864	"1"	5	"2"	0
24	1181	1530	1552	"1"	1	"2"	0
25	2689	1471	1507	"1"	1	"2"	0
26	1717	862	NA	"0"	9	"1"	0
27	341	914	NA	"0"	10	"3"	0
28	607	882	932	"1"	7	"1"	0
29	2637	756	NA	"0"	10	"3"	1
30	291	795	NA	"0"	8	"2"	0
31	2068	929	970	"1"	9	"3"	0
32	2380	508	545	"1"	10	"3"	0
33	1625	1003	1025	"1"	5	"1"	1
34	1289	763	790	"1"	6	"1"	0
35	2425	451	476	"1"	10	"1"	0
36	2603	446	448	"1"	1	"1"	0
37	1361	746	783	"1"	10	"1"	0
38	423	873	NA	"0"	7	"1"	0
39	701	199	231	"1"	9	"1"	1
40	1202	383	410	"1"	9	"1"	0
42	534	357	392	"1"	10	"1"	0
43	853	658	NA	"0"	10	"1"	0
44	1583	377	409	"1"	9	"1"	0
45	1303	703	744	"1"	1	"3"	1
46	1787	856	NA	"0"	10	"2"	0
47	1527	1184	1208	"1"	5	"2"	0
49	167	630	648	"1"	4	"2"	1
50	1998	573	612	"1"	9	"1"	0
51	2959	1048	1093	"1"	9	"3"	0
52	949	741	786	"1"	7	"2"	0
53	293	368	NA	"0"	10	"3"	0
55	1187	291	NA	"0"	10	"3"	0
56	1551	253	288	"1"	8	"2"	1
57	2273	1437	NA	"0"	10	"1"	0
58	3113	441	466	"1"	8	"2"	0
59	2342	1080	NA	"0"	10	"3"	0
60	2844	1279	1309	"1"	1	"1"	0
61	1377	279	NA	"0"	6	"1"	1
62	2020	579	630	"1"	8	"3"	0
63	2587	222	265	"1"	10	"2"	0
64	941	804	NA	"0"	10	"1"	0
65	2753	692	730	"1"	10	"3"	1
66	1138	486	NA	"0"	7	"1"	0
67	1906	601	NA	"0"	4	"1"	0
69	1986	1291	1331	"1"	3	"1"	0
70	1639	778	NA	"0"	10	"1"	0
71	1343	634	NA	"0"	6	"1"	0
72	1419	571	591	"1"	3	"2"	0
73	1210	512	NA	"0"	10	"1"	0
74	188	592	NA	"0"	8	"1"	0
75	2248	525	561	"1"	10	"3"	0
76	648	370	NA	"0"	6	"2"	1
77	2274	1151	1179	"1"	5	"3"	0
78	1910	773	788	"1"	4	"3"	1
79	2042	945	NA	"0"	9	"2"	0
80	73	437	NA	"0"	9	"2"	0
81	2074	271	NA	"0"	8	"3"	1
82	1399	839	NA	"0"	8	"3"	0
84	3172	798	838	"1"	10	"3"	1
87	3655	771	812	"1"	7	"2"	0
88	1753	972	NA	"0"	10	"3"	0
90	2061	679	NA	"0"	9	"3"	0
91	2100	748	NA	"0"	7	"2"	1
92	1609	889	919	"1"	10	"3"	0
93	1341	1100	1132	"1"	9	"1"	1
94	1321	575	NA	"0"	10	"2"	0
95	1794	1217	1236	"1"	10	"1"	0
96	3225	781	NA	"0"	9	"2"	1
97	2934	148	189	"1"	6	"3"	1
98	595	687	733	"1"	9	"2"	0
99	1214	721	NA	"0"	3	"1"	1
100	438	194	NA	"0"	8	"1"	0
101	2144	594	622	"1"	4	"2"	0
102	3014	896	938	"1"	8	"3"	0
103	464	495	NA	"0"	6	"2"	0
104	1529	624	651	"1"	7	"2"	1
105	1634	944	978	"1"	3	"2"	1
106	1785	1180	1209	"1"	8	"1"	0
107	1764	924	954	"1"	5	"1"	0
108	874	868	NA	"0"	2	"1"	1
109	2463	319	NA	"0"	1	"1"	0
110	2028	565	NA	"0"	8	"2"	1
111	1054	617	655	"1"	8	"1"	0
112	1556	377	NA	"0"	9	"3"	0
113	866	1301	1321	"1"	7	"1"	1
114	1206	899	NA	"0"	8	"3"	0
115	515	637	664	"1"	8	"3"	0
116	2110	121	NA	"0"	8	"3"	0
117	3562	1489	1519	"1"	1	"3"	1
118	1715	1085	1124	"1"	10	"1"	0
119	2508	606	622	"1"	2	"3"	0
120	1155	562	NA	"0"	9	"2"	1
121	2422	723	NA	"0"	9	"2"	0
122	2203	569	NA	"0"	9	"1"	0
123	2291	713	761	"1"	9	"3"	1
124	2653	598	629	"1"	9	"2"	0
125	1652	317	350	"1"	9	"1"	0
126	3082	527	546	"1"	4	"3"	1
127	2846	176	202	"1"	9	"3"	1
128	2329	746	NA	"0"	8	"3"	0
129	1427	944	979	"1"	7	"2"	0
130	1046	83	NA	"0"	10	"1"	0
131	2179	43	78	"1"	10	"3"	0
132	999	364	NA	"0"	8	"2"	0
133	2986	613	642	"1"	10	"1"	0
134	548	845	NA	"0"	6	"3"	0
135	650	1245	1294	"1"	8	"1"	0
136	1974	470	NA	"0"	6	"1"	0
137	2775	1095	1128	"1"	9	"3"	0
138	773	563	NA	"0"	10	"3"	0
139	917	938	NA	"0"	10	"1"	0
140	1756	1077	1098	"1"	6	"2"	0
141	1968	702	730	"1"	3	"2"	0
142	511	932	NA	"0"	9	"1"	0
143	1472	706	729	"1"	6	"1"	1
144	73	565	NA	"0"	9	"1"	0
145	1623	317	NA	"0"	10	"1"	1
146	414	835	855	"1"	9	"1"	0
147	995	482	NA	"0"	3	"1"	0
148	1859	593	629	"1"	9	"3"	1
149	2219	438	NA	"0"	7	"2"	0
150	2478	1158	1210	"1"	4	"3"	1
151	2488	539	NA	"0"	5	"3"	0
152	141	341	NA	"0"	8	"1"	0
153	2002	1040	1076	"1"	10	"1"	1
154	1257	677	NA	"0"	10	"3"	0
155	1596	732	NA	"0"	10	"3"	0
156	284	124	NA	"0"	7	"1"	0
157	1323	649	NA	"0"	6	"1"	0
158	1761	447	NA	"0"	9	"3"	0
160	2351	902	NA	"0"	10	"3"	0
161	1950	226	NA	"0"	9	"3"	0
162	1520	893	922	"1"	0	"2"	1
163	182	563	NA	"0"	10	"2"	0
164	3457	1348	1385	"1"	7	"3"	0
165	2676	81	106	"1"	8	"1"	0
166	1971	625	645	"1"	2	"3"	1
167	1446	786	NA	"0"	10	"2"	0
168	1336	1108	1144	"1"	2	"1"	1
170	1885	885	NA	"0"	8	"2"	0
171	2212	719	766	"1"	9	"3"	1
172	1272	912	955	"1"	9	"2"	1
173	3794	809	852	"1"	7	"3"	1
174	2550	650	NA	"0"	10	"3"	0
175	1045	221	256	"1"	2	"1"	1
176	902	806	NA	"0"	9	"1"	0
177	1331	291	NA	"0"	9	"1"	0
178	2437	670	NA	"0"	10	"2"	0
179	1636	599	NA	"0"	10	"1"	1
180	1695	510	540	"1"	4	"1"	0
181	137	406	NA	"0"	6	"1"	0
182	2794	288	NA	"0"	5	"3"	0
183	856	766	NA	"0"	10	"3"	0
184	2348	464	NA	"0"	10	"3"	0
185	2500	789	NA	"0"	5	"2"	0
186	2313	973	982	"1"	10	"3"	0
187	1411	565	NA	"0"	5	"3"	0
188	1388	972	NA	"0"	9	"2"	0
190	3228	811	NA	"0"	10	"3"	0
191	1637	905	934	"1"	7	"1"	1
192	2067	483	497	"1"	5	"2"	1
193	1251	344	369	"1"	8	"1"	0
194	2218	893	931	"1"	6	"2"	0
195	2870	193	NA	"0"	10	"2"	1
196	2437	749	785	"1"	8	"2"	0
197	1176	586	NA	"0"	8	"3"	0
198	1552	1054	NA	"0"	10	"2"	0
199	3158	683	715	"1"	9	"3"	0
200	1902	942	962	"1"	6	"2"	0
201	2633	457	NA	"0"	6	"2"	0
202	1449	144	NA	"0"	9	"1"	0
203	2634	43	82	"1"	7	"2"	0
204	1729	972	NA	"0"	10	"2"	0
205	1146	681	709	"1"	4	"1"	0
206	1118	1134	1164	"1"	1	"1"	0
207	823	792	NA	"0"	1	"2"	0
208	3075	999	1038	"1"	8	"1"	1
209	3940	766	NA	"0"	5	"3"	0
210	2332	533	NA	"0"	10	"2"	0
211	2336	324	NA	"0"	8	"3"	0
212	992	977	NA	"0"	5	"1"	0
214	3015	655	NA	"0"	8	"1"	0
215	1727	148	NA	"0"	9	"3"	0
216	1955	719	742	"1"	9	"3"	0
217	1549	428	NA	"0"	5	"1"	0
218	453	491	537	"1"	5	"2"	1
219	1090	531	NA	"0"	10	"1"	0
220	308	228	NA	"0"	9	"2"	0
221	2281	502	NA	"0"	9	"3"	0
222	1199	766	797	"1"	8	"2"	0
223	2203	82	103	"1"	6	"3"	1
224	1635	1060	1077	"1"	2	"2"	0
225	1562	647	672	"1"	9	"1"	0
226	1161	991	NA	"0"	7	"1"	0
227	975	1179	1221	"1"	10	"3"	0
228	1640	106	NA	"0"	8	"2"	0
229	1405	872	NA	"0"	5	"2"	0
230	776	667	NA	"0"	10	"2"	1
231	825	630	655	"1"	7	"2"	0
232	3269	809	848	"1"	9	"3"	0
233	1341	477	NA	"0"	8	"3"	0
234	3472	884	NA	"0"	9	"3"	0
235	626	982	NA	"0"	10	"1"	0
236	3287	701	NA	"0"	10	"2"	0
237	1796	802	NA	"0"	10	"3"	0
238	1025	957	NA	"0"	8	"2"	0
239	1276	757	NA	"0"	5	"2"	0
240	282	946	989	"1"	8	"2"	1
241	1416	587	614	"1"	6	"2"	0
242	547	754	NA	"0"	10	"1"	0
243	1507	808	NA	"0"	10	"1"	0
244	479	867	NA	"0"	7	"3"	0
245	971	900	NA	"0"	9	"1"	0
246	5077	859	881	"1"	4	"3"	0
247	958	832	NA	"0"	10	"2"	0
248	370	926	NA	"0"	10	"1"	0
249	1119	993	NA	"0"	7	"2"	0
250	1380	702	NA	"0"	9	"2"	0
251	3718	1017	1052	"1"	10	"3"	1
252	2562	1004	1041	"1"	2	"3"	0
253	1032	18	NA	"0"	6	"3"	0
254	2523	1132	NA	"0"	6	"3"	0
255	2107	704	NA	"0"	7	"1"	0
256	2334	1004	NA	"0"	9	"1"	1
257	2214	866	895	"1"	10	"3"	0
258	1874	589	NA	"0"	7	"1"	0
259	1224	510	542	"1"	10	"1"	0
260	2380	422	NA	"0"	10	"2"	0
