revenue	gender	retargeting	customerID	rank
1852	1	1	1	123
830	1	1	2	243
2466	1	3	3	54
2197	1	2	4	78
1187	1	3	5	202
2162	1	1	6	83
2587	1	1	7	44
2423	1	3	8	56
2457	0	3	9	55
1297	0	1	10	185
2589	0	2	11	42
1189	1	1	12	200
2096	0	3	13	88
2901	0	2	14	24
1141	0	1	15	206
658	1	2	16	259
2125	0	3	17	86
1668	0	2	18	144
765	1	1	19	252
1011	0	2	20	221
2348	1	1	21	62
778	0	2	22	251
822	0	2	23	244
1828	0	3	24	126
512	1	2	25	270
1934	0	3	26	113
1485	1	3	27	163
857	1	1	28	239
1369	0	2	29	173
781	0	1	30	250
2201	0	3	31	77
2530	1	3	32	50
1626	0	1	33	147
1805	0	2	34	130
1912	1	2	35	118
1442	0	1	36	169
2204	1	2	37	74
2242	1	2	38	71
2072	0	3	39	92
2255	0	3	40	69
1355	0	3	41	177
2490	1	1	42	53
1412	0	2	43	171
1841	0	2	44	124
1279	1	1	45	189
1695	1	3	46	141
2333	1	1	47	63
1068	0	2	48	215
1707	1	1	49	140
2036	1	2	50	99
1913	0	1	51	116
2545	0	1	52	49
176	0	1	53	283
1174	0	3	54	203
1694	0	3	55	142
3087	0	1	56	16
2034	1	2	57	100
2880	1	3	58	26
993	0	1	59	222
1761	1	1	60	136
1105	0	2	61	213
1735	0	2	62	139
911	1	2	63	232
2351	1	3	64	61
839	0	1	65	242
1581	1	2	66	155
2946	1	3	68	22
3397	0	3	69	9
523	1	1	70	269
2756	1	1	71	30
2087	1	1	72	90
859	1	2	73	238
1913	0	1	74	117
1281	0	3	75	187
1973	1	3	76	111
989	1	1	77	223
1155	0	2	78	205
1500	1	1	79	161
1989	1	2	80	108
903	1	1	81	233
1886	0	2	83	119
1519	0	1	84	159
2581	1	3	85	45
2002	0	1	86	107
2016	0	3	87	105
1469	0	3	89	165
2089	1	2	90	89
2057	1	3	92	95
3737	1	3	93	3
2947	1	3	94	21
1608	1	2	95	150
937	1	1	96	230
1751	0	1	97	137
1929	0	1	98	114
808	1	2	99	246
1034	1	1	100	218
650	1	2	101	263
650	1	2	103	262
1453	0	3	104	167
1860	0	1	105	121
2034	1	3	106	101
58	0	1	107	288
2012	0	3	108	106
2202	0	3	109	76
962	1	2	110	225
1334	1	2	111	183
812	1	1	112	245
1827	1	1	113	127
450	1	2	114	272
3166	0	3	115	12
2039	0	1	116	98
3112	1	3	117	14
2204	1	3	118	75
3099	1	1	119	15
534	1	1	120	267
1116	0	1	121	212
2165	1	1	122	82
1271	1	1	123	190
1265	0	1	124	192
2065	0	2	125	93
2589	1	3	126	43
2661	1	3	127	35
1027	0	3	128	219
2763	1	1	129	29
3912	1	3	130	1
