"revenue"	"gender"	"retargeting"	"customerID"	"rank"
1860	"1"	"3"	1	133
1560	"0"	"1"	2	171
1700	"1"	"3"	3	153
1186	"1"	"2"	4	223
1370	"1"	"1"	5	199
1197	"0"	"2"	6	218
1195	"1"	"1"	7	220
2598	"1"	"2"	8	49
2088	"0"	"3"	9	111
538	"0"	"3"	10	277
2162	"0"	"3"	11	95
1449	"1"	"1"	12	187
1108	"0"	"2"	13	233
1823	"1"	"2"	14	137
2210	"1"	"2"	15	90
2880	"1"	"3"	16	25
2293	"0"	"2"	17	78
197	"1"	"1"	18	292
3574	"1"	"1"	19	3
2224	"1"	"3"	21	88
2326	"1"	"2"	22	71
1478	"1"	"3"	23	184
1468	"0"	"3"	24	186
1782	"1"	"3"	25	143
1402	"1"	"2"	26	193
1518	"1"	"1"	27	180
2231	"1"	"3"	28	87
873	"1"	"1"	29	248
601	"0"	"1"	30	275
2196	"0"	"3"	31	91
1137	"0"	"1"	32	228
1206	"0"	"2"	33	215
430	"0"	"3"	34	282
946	"0"	"1"	35	243
2558	"1"	"1"	36	54
2588	"1"	"3"	37	51
1835	"0"	"1"	38	135
1243	"0"	"1"	39	213
2410	"1"	"1"	40	65
626	"1"	"2"	41	274
1496	"0"	"2"	42	181
2152	"0"	"3"	43	99
2234	"0"	"3"	44	85
489	"1"	"1"	45	279
1574	"0"	"1"	46	170
1289	"0"	"2"	47	207
1079	"1"	"1"	48	234
511	"1"	"1"	49	278
1955	"1"	"2"	50	124
2233	"1"	"3"	51	86
1387	"1"	"2"	52	198
1274	"1"	"1"	53	211
1962	"1"	"3"	54	123
1584	"1"	"2"	55	168
2898	"1"	"3"	56	23
811	"0"	"2"	57	253
428	"0"	"3"	58	284
2309	"1"	"1"	59	75
1525	"1"	"1"	60	178
736	"0"	"2"	61	262
456	"1"	"1"	62	281
2156	"1"	"3"	63	98
2623	"0"	"3"	64	46
1361	"1"	"1"	65	200
1847	"0"	"1"	66	134
1442	"1"	"1"	67	189
1973	"1"	"2"	68	122
1793	"1"	"1"	69	141
3962	"0"	"3"	70	1
2126	"1"	"2"	71	104
2996	"1"	"1"	72	19
3430	"0"	"2"	73	9
809	"0"	"2"	75	254
862	"0"	"1"	76	250
2318	"1"	"1"	77	72
1903	"0"	"2"	78	128
1318	"0"	"1"	79	204
220	"0"	"1"	80	290
1032	"0"	"3"	81	237
2310	"1"	"3"	82	74
2750	"0"	"1"	83	36
652	"0"	"3"	84	270
1195	"0"	"1"	85	219
1285	"1"	"1"	86	209
1987	"0"	"3"	87	119
881	"0"	"2"	88	246
1204	"0"	"2"	89	216
2723	"1"	"3"	90	38
864	"0"	"2"	91	249
1664	"0"	"2"	92	159
2243	"1"	"2"	93	81
2543	"0"	"1"	94	55
1291	"0"	"1"	95	206
391	"1"	"1"	96	286
799	"1"	"1"	97	256
1598	"0"	"1"	98	166
3509	"1"	"1"	99	8
2062	"0"	"2"	100	114
2537	"1"	"3"	101	57
2193	"1"	"2"	102	92
1189	"1"	"3"	103	221
1172	"0"	"1"	104	225
1071	"0"	"3"	105	235
2636	"1"	"1"	106	45
1323	"0"	"2"	107	203
1743	"0"	"1"	108	149
1444	"0"	"1"	109	188
1422	"1"	"2"	110	192
2297	"0"	"1"	111	77
2390	"0"	"2"	112	66
1764	"1"	"2"	113	145
1477	"1"	"2"	114	185
638	"1"	"1"	115	271
715	"0"	"2"	116	264
158	"1"	"1"	117	295
3089	"0"	"3"	118	15
2818	"1"	"3"	119	29
1396	"0"	"2"	120	195
1687	"0"	"3"	121	156
193	"1"	"1"	122	293
850	"1"	"2"	123	251
2818	"1"	"3"	124	30
1805	"0"	"1"	125	140
2457	"1"	"1"	126	64
1943	"1"	"3"	127	125
1865	"0"	"2"	128	130
2351	"0"	"1"	130	70
2043	"1"	"2"	131	115
2241	"0"	"3"	132	82
2807	"1"	"3"	133	31
3163	"1"	"3"	134	12
923	"1"	"1"	135	244
1154	"0"	"1"	136	227
631	"0"	"3"	137	272
704	"1"	"1"	138	268
1126	"0"	"1"	139	230
2009	"0"	"2"	140	118
3531	"1"	"3"	141	6
1324	"0"	"1"	142	202
1546	"0"	"2"	143	173
2171	"0"	"2"	144	94
1479	"1"	"1"	145	183
2575	"0"	"1"	146	52
2304	"1"	"2"	147	76
2832	"1"	"3"	148	28
1198	"0"	"3"	149	217
177	"0"	"1"	150	294
2613	"0"	"3"	151	47
2957	"1"	"3"	152	20
2957	"1"	"3"	153	21
1535	"0"	"2"	154	175
912	"0"	"1"	155	245
711	"0"	"1"	156	266
1521	"1"	"2"	157	179
2736	"0"	"1"	158	37
3516	"1"	"3"	159	7
1696	"0"	"1"	160	154
706	"0"	"1"	161	267
737	"0"	"1"	162	261
3036	"0"	"2"	163	16
2533	"1"	"2"	164	58
429	"0"	"3"	166	283
1727	"0"	"2"	167	150
1013	"0"	"1"	168	239
3201	"1"	"3"	169	11
1269	"0"	"3"	171	212
2776	"1"	"3"	172	34
2798	"0"	"2"	173	32
2682	"0"	"3"	174	42
2651	"1"	"2"	175	44
1526	"0"	"3"	176	176
1187	"1"	"1"	177	222
3224	"1"	"3"	178	10
2106	"1"	"1"	179	108
2137	"1"	"2"	180	101
749	"1"	"2"	181	260
2236	"0"	"3"	182	84
875	"0"	"3"	183	247
2375	"0"	"3"	184	68
1288	"0"	"1"	185	208
1575	"0"	"2"	186	169
2140	"1"	"3"	187	100
2758	"1"	"1"	188	35
1973	"1"	"1"	189	121
1660	"0"	"3"	190	161
1820	"0"	"1"	191	138
1877	"1"	"2"	192	129
397	"0"	"3"	193	285
1865	"1"	"2"	194	131
721	"1"	"3"	195	263
1832	"1"	"3"	196	136
2908	"0"	"3"	197	22
2705	"1"	"2"	198	40
1814	"0"	"1"	199	139
558	"1"	"2"	200	276
761	"0"	"2"	201	259
714	"1"	"1"	202	265
1678	"1"	"3"	203	158
1769	"1"	"1"	204	144
1651	"1"	"3"	205	163
1334	"0"	"3"	206	201
1552	"0"	"1"	207	172
1483	"0"	"3"	208	182
2356	"0"	"3"	209	69
1393	"0"	"1"	210	196
3543	"1"	"3"	211	5
2091	"0"	"2"	212	110
1002	"1"	"2"	213	240
1936	"0"	"1"	214	126
2883	"1"	"1"	215	24
209	"0"	"1"	216	291
3136	"1"	"3"	217	13
783	"0"	"3"	218	257
2017	"1"	"1"	219	116
1120	"1"	"3"	220	232
2223	"0"	"1"	221	89
1027	"0"	"3"	222	238
1124	"1"	"1"	223	231
1718	"0"	"3"	224	151
1278	"0"	"2"	225	210
2610	"1"	"1"	226	48
2676	"1"	"3"	227	43
1308	"1"	"1"	228	205
1759	"0"	"3"	229	147
2161	"1"	"1"	230	96
2091	"0"	"2"	231	109
1431	"1"	"2"	232	190
1167	"1"	"2"	233	226
655	"1"	"2"	234	269
1240	"1"	"3"	235	214
1393	"1"	"2"	236	197
1701	"1"	"2"	237	152
1684	"1"	"1"	238	157
2594	"0"	"3"	239	50
2711	"1"	"2"	240	39
2157	"1"	"2"	241	97
1595	"1"	"3"	242	167
1525	"0"	"3"	243	177
1761	"0"	"2"	244	146
2241	"1"	"3"	245	83
3681	"1"	"2"	246	2
764	"0"	"3"	247	258
2870	"1"	"3"	248	26
2123	"0"	"1"	249	105
820	"0"	"2"	250	252
1605	"1"	"1"	251	165
974	"0"	"3"	252	242
2495	"0"	"2"	253	61
2121	"0"	"3"	254	106
2493	"0"	"3"	255	62
2131	"1"	"1"	256	103
2245	"0"	"2"	257	80
3128	"1"	"1"	258	14
1651	"0"	"1"	259	162
2084	"1"	"2"	260	112
1175	"1"	"1"	261	224
982	"0"	"1"	262	241
3026	"1"	"3"	263	18
1661	"0"	"1"	264	160
1744	"0"	"3"	265	148
2790	"0"	"3"	266	33
3035	"1"	"3"	267	17
2132	"1"	"1"	268	102
232	"1"	"2"	269	289
3549	"1"	"3"	270	4
248	"0"	"1"	271	288
1134	"0"	"1"	272	229
2511	"1"	"3"	273	59
468	"0"	"1"	274	280
802	"0"	"1"	275	255
2174	"0"	"2"	276	93
2505	"0"	"3"	277	60
2701	"1"	"3"	278	41
1689	"0"	"2"	279	155
1915	"0"	"3"	280	127
2383	"1"	"2"	281	67
2316	"0"	"3"	282	73
1424	"1"	"2"	283	191
2011	"1"	"2"	284	117
2258	"1"	"3"	285	79
2486	"0"	"3"	286	63
2833	"1"	"2"	287	27
1401	"1"	"2"	288	194
1790	"1"	"1"	289	142
348	"0"	"1"	290	287
1982	"1"	"3"	291	120
2076	"0"	"2"	292	113
1863	"1"	"1"	293	132
1046	"0"	"1"	294	236
2118	"0"	"2"	295	107
1624	"0"	"2"	296	164
1546	"1"	"1"	297	174
630	"0"	"1"	298	273
2574	"1"	"3"	299	53
2537	"0"	"1"	300	56
