"sales"	"price"	"adspend"	"srspend"	"feature"	"NA"	"NA.1"	"rev"	"stud_resid"
88	185	753	1725	0	13802	1.04794661879828	13802	1.04794661879828
37	223	828	1851	0	5572	1.04064677899557	5572	1.04064677899557
56	177	834	1201	0	7877	-0.298716954097734	7877	-0.298716954097734
64	198	684	2156	0	9832	0.322837531604273	9832	0.322837531604273
1	194	672	1624	0	-2102	-0.903726608256048	-2102	-0.903726608256048
42	161	762	657	0	5343	0.545491226481723	5343	0.545491226481723
13	175	727	900	0	648	0.00697877632284674	648	0.00697877632284674
76	194	811	575	1	13358	-0.879144123854626	13358	-0.879144123854626
162	186	760	1371	1	28001	0.311443307653817	28001	0.311443307653817
90	174	796	1469	0	13395	0.472529601717371	13395	0.472529601717371
22	212	958	1323	0	2383	-0.42620193574659	2383	-0.42620193574659
51	216	739	1019	1	9258	-0.188136103321096	9258	-0.188136103321096
32	164	649	1161	0	3438	-0.286672141019047	3438	-0.286672141019047
47	182	811	1679	0	6064	-1.97593502556087	6064	-1.97593502556087
113	212	909	1108	1	21939	-1.32124865127307	21939	-1.32124865127307
35	216	997	1303	0	5260	0.239620033805098	5260	0.239620033805098
77	178	849	1322	0	11535	0.160985450062087	11535	0.160985450062087
62	202	893	1634	0	9997	0.0767383795748994	9997	0.0767383795748994
143	215	681	1736	1	28328	2.72140242232834	28328	2.72140242232834
108	175	853	1639	0	16408	0.0120385132352952	16408	0.0120385132352952
45	173	857	644	0	6284	0.785051029425009	6284	0.785051029425009
39	188	692	1560	0	5080	0.393898762682095	5080	0.393898762682095
60	195	801	1401	0	9498	1.44463268753327	9498	1.44463268753327
24	188	679	2049	0	1784	-2.36796441624078	1784	-2.36796441624078
52	191	830	1266	0	7836	0.784279423771475	7836	0.784279423771475
18	208	830	1701	0	1213	-0.959846062551104	1213	-0.959846062551104
128	189	1017	1485	0	21690	1.02986588130992	21690	1.02986588130992
46	183	723	1524	0	6171	-0.0511913363603444	6171	-0.0511913363603444
11	203	938	962	0	333	-0.152998397429502	333	-0.152998397429502
82	180	915	1640	0	12205	-1.63755339092253	12205	-1.63755339092253
64	213	926	1689	0	11017	0.697423233738131	11017	0.697423233738131
29	205	918	1048	0	3979	0.893206606878566	3979	0.893206606878566
14	195	837	1275	0	618	-0.844203231226714	618	-0.844203231226714
18	173	778	877	0	1459	-0.540971238597524	1459	-0.540971238597524
15	181	786	840	0	1089	0.225388893713437	1089	0.225388893713437
89	212	966	1969	0	15933	0.132431991393684	15933	0.132431991393684
124	176	623	1306	1	19895	0.345788380695635	19895	0.345788380695635
28	190	726	1399	0	3195	0.280448213369312	3195	0.280448213369312
56	192	791	1740	0	8221	-0.395992679566613	8221	-0.395992679566613
1	179	694	972	0	-1487	-0.0369499585293933	-1487	-0.0369499585293933
42	192	559	1293	1	6212	-0.918732179569122	6212	-0.918732179569122
72	159	834	733	0	9881	0.571593900175465	9881	0.571593900175465
50	189	730	1597	0	7123	0.395149571419033	7123	0.395149571419033
115	188	673	1513	1	19434	-0.766385296777797	19434	-0.766385296777797
137	163	964	1188	0	20179	0.647585768478123	20179	0.647585768478123
3	188	930	671	0	-1037	-0.852916725497579	-1037	-0.852916725497579
34	165	552	1522	0	3536	-0.322539884237045	3536	-0.322539884237045
51	182	844	840	0	7598	1.4086942639858	7598	1.4086942639858
5	194	715	1288	0	-1033	0.163125037969485	-1033	0.163125037969485
77	198	779	1998	0	12469	0.383246287395865	12469	0.383246287395865
102	202	829	2019	0	17756	1.34558187065125	17756	1.34558187065125
44	206	837	2259	0	5968	-2.42122268729984	5968	-2.42122268729984
85	188	918	1434	0	13628	0.25078345038704	13628	0.25078345038704
2	196	764	1344	0	-1716	-0.665843644304015	-1716	-0.665843644304015
29	195	883	1303	0	3469	-0.81536968832805	3469	-0.81536968832805
32	207	886	1277	0	4461	0.706960636474026	4461	0.706960636474026
43	193	821	1389	0	6089	0.141020027678197	6089	0.141020027678197
1	190	813	1151	0	-1774	-1.20263092008407	-1774	-1.20263092008407
75	199	910	1581	0	12434	0.411817726571303	12434	0.411817726571303
122	184	876	547	1	21025	-0.812278206917653	21025	-0.812278206917653
120	220	741	1791	1	23868	0.45019873169792	23868	0.45019873169792
143	213	828	1416	1	28215	0.715889221096025	28215	0.715889221096025
98	165	863	1257	0	14050	-0.0865038249349615	14050	-0.0865038249349615
115	200	812	2014	0	20174	2.07160039183826	20174	2.07160039183826
79	181	896	1594	0	11809	-1.21040990747486	11809	-1.21040990747486
65	196	829	1658	0	10253	0.332183189353962	10253	0.332183189353962
89	181	660	1814	0	13635	1.55745317564555	13635	1.55745317564555
43	164	709	784	0	5559	1.09844343196825	5559	1.09844343196825
130	173	975	1384	0	20131	0.378704822251386	20131	0.378704822251386
9	154	788	592	0	6	-2.06395213976192	6	-2.06395213976192
68	178	659	1751	0	9694	0.41965370785908	9694	0.41965370785908
234	207	1039	1571	1	45828	-0.251139488699644	45828	-0.251139488699644
124	156	815	1259	0	17270	0.915881685236377	17270	0.915881685236377
37	178	678	1699	0	4209	-1.20588847348283	4209	-1.20588847348283
62	154	565	1466	0	7517	-0.014668505579652	7517	-0.014668505579652
83	164	704	1665	0	11243	-0.576390163322716	11243	-0.576390163322716
23	179	680	1353	0	2084	-0.351941679359908	2084	-0.351941679359908
319	171	837	1994	1	51718	2.79006739031245	51718	2.79006739031245
27	220	965	1533	0	3442	-0.294215850499568	3442	-0.294215850499568
147	189	1077	1808	0	24898	-0.212095092537694	24898	-0.212095092537694
27	175	613	1694	0	2418	-1.15865450215386	2418	-1.15865450215386
19	208	811	1350	0	1791	0.84737892619033	1791	0.84737892619033
172	214	873	1564	1	34371	0.776773875454669	34371	0.776773875454669
94	197	983	1318	0	16217	1.32640315169767	16217	1.32640315169767
3	188	858	1328	0	-1622	-2.74877837263258	-1622	-2.74877837263258
17	203	806	1510	0	1135	-0.413268807748267	1135	-0.413268807748267
23	191	770	1168	0	2455	0.529524433882791	2455	0.529524433882791
39	211	757	1954	0	5518	0.338054660235835	5518	0.338054660235835
35	211	733	1668	0	4984	1.70966318035772	4984	1.70966318035772
150	208	963	681	1	29556	1.038250817002	29556	1.038250817002
12	209	689	1858	0	-39	0.0629938634188545	-39	0.0629938634188545
122	214	727	2092	1	23289	-1.15870964850109	23289	-1.15870964850109
25	200	872	1602	0	2526	-1.61795304847697	2526	-1.61795304847697
17	227	981	1825	0	1053	-1.5497473417457	1053	-1.5497473417457
18	205	844	1428	0	1418	-0.305439688859416	1418	-0.305439688859416
31	176	664	1367	0	3425	-0.115048852229525	3425	-0.115048852229525
96	212	1033	1930	0	17389	-0.248432432283447	17389	-0.248432432283447
47	204	825	1592	0	7171	0.616082420796036	7171	0.616082420796036
143	193	753	1636	1	25210	-0.914968860044449	25210	-0.914968860044449
7	187	850	1090	0	-631	-1.46370433690583	-631	-1.46370433690583
22	202	766	1468	0	2210	0.445007701880852	2210	0.445007701880852
201	200	815	1956	1	37429	0.215552510433708	37429	0.215552510433708
168	165	878	1769	0	25073	1.13548587562193	25073	1.13548587562193
33	168	568	1350	0	3626	0.487245333531111	3626	0.487245333531111
