"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
214.9	2.4	42	12
49.3	1.2	7	4.5
1.8	5.8	19	5.7
175.2	8.7	63	15.4
126.3	8.6	20	13.5
29.9	26.2	28	6.6
57.3	38.7	6	15.8
69.7	54.5	10	13.9
239.9	27.5	13	19.3
217.8	6.9	24	13.6
37.1	34.2	14	12.8
83.7	18.6	49	10.1
164.2	27.8	46	13.7
9.2	75	30	17.5
188.2	20.2	42	16.1
170.2	28.9	29	12.8
16.1	5.2	40	4.6
203	5.8	22	14.6
227.7	13.9	41	15.5
210.1	46.8	29	21.8
18.8	17.2	20	6.6
58.8	21.3	27	10
184	7.4	28	14.6
200.9	35.4	39	20.6
239.3	25.9	18	20.2
68	52.7	40	13.1
112.9	4.5	22	7.2
13.3	40.3	54	12
242	27.4	25	16.4
231.2	24	58	18.5
26.2	21	12	8
168.6	8.5	43	10.8
17	15.8	20	2.4
286.7	29.1	14	20.8
230.6	12.2	20	15.2
153	44.3	26	18.2
189.4	36.5	12	17.9
166.8	24.5	18	17.7
157.3	17.9	15	17.3
171.2	31.5	23	16.9
157.3	49.8	42	22.3
210	3.7	30	14.5
186.9	18.4	15	16.5
119.3	18.9	63	9
60.3	39.9	27	14
226	33.2	10	21
273.5	45.1	42	24.9
74.2	7.9	4	6.7
272.9	45.9	31	21.4
102.6	38.7	39	12.4
61.1	22.9	15	10.8
60.6	47.6	34	17
285.8	6.5	77	16.9
220.7	16.4	44	15.7
168.6	45.7	48	19.4
63.9	20	29	7.4
170.7	11.6	23	13.6
169.8	21.7	43	15
78.2	11	10	8.1
159.3	24.9	16	13.4
104.2	12.9	30	12
231.4	27.2	39	16.1
86	19.4	23	8
226.9	29.3	12	18.2
129.1	30.7	41	13.1
266.1	16.3	23	14.6
70.9	19	25	7.2
93.9	23.6	25	10.9
80.9	15.5	18	7.9
77.7	24.8	21	13.1
4.5	18.9	40	5.1
46.8	26.6	41	10.1
147.8	8.6	27	11
176.4	52.8	12	20.1
281.7	36.5	26	24
114.2	21	28	12.5
236.2	34.6	14	20.3
57.6	50	43	14.9
179.7	46.5	24	21.8
228.5	59.8	34	23.8
30.6	31.8	31	9.2
68.3	36.6	44	15.1
41.4	18.6	37	7
136.9	23.1	18	15
196.9	17.4	4	17.1
58.2	14.2	26	4.1
37.1	35.3	34	10.4
160	11.8	33	11.1
281.5	21.6	44	20.6
96.9	19.5	44	9.6
95.9	1.8	23	5.4
97.4	8.7	30	8.4
146.3	42.2	36	18.8
83.9	19.7	41	11
117.6	47.7	24	18.3
112.3	17.8	41	11.6
140.3	35.6	34	14.2
207.2	15.5	41	13.4
212.1	30.4	50	16.6
218	24.6	30	17.1
