StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q42_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q8_1,Q8_2,Q8_3,Q8_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q45_1,Q47_1,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q63_7,Q63_8,Q18_1_1,Q18_1_2,Q18_1_3,Q18_1_4,Q18_1_5,Q18_1_6,Q18_1_7,Q18_1_8,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q46,Q29,Q30,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q22,Q23,Q27,Q27_2_TEXT,Q24,Q40,Q25,Q25_6_TEXT,Q26,Q48,Q49,Q45,Q18_1_1 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which of these store brands do you know?,What is the amount of money you spend on average on groceries per week? (in €) - Weekly expenditures for groceries,How often do you go to the following grocery stores? - Billa,How often do you go to the following grocery stores? - Spar,How often do you go to the following grocery stores? - Hofer,How often do you go to the following grocery stores? - Lidl,How often do you go to the following grocery stores? - Merkur,How often do you go to the following grocery stores? - Penny,How often do you go to the following grocery stores? - Denn's,How important are the following factors related to food and beverages to you? - Taste,How important are the following factors related to food and beverages to you? - Quality,How important are the following factors related to food and beverages to you? - Product Packaging,How important are the following factors related to food and beverages to you? - Price,How important are the following factors related to food and beverages to you? - Brand,How important are the following factors related to food and beverages to you? - Regionality,"How important are the following factors related to food and beverages to you? - Dietary Attributes (vegan, lactose-free, etc.)",How important are the following factors related to food and beverages to you? - Ingredients,"How important are the following factors related to food and beverages to you? - Special Attributes (limited edition, new flavor, etc.)",Imagine you are in the supermarket shopping for groceries. What do you pay attention to? - I do not pay attention to product brands.:I pay attention to product brands.,Imagine you are in the supermarket shopping for groceries. What do you pay attention to? - I do not pay attention to product packaging.:I pay attention to the packaging of products.,Imagine you are in the supermarket shopping for groceries. What do you pay attention to? - I do not pay attention to price tags.:I pay attention to price tags.,Imagine you are in the supermarket shopping for groceries. What do you pay attention to? - I do not pay attention to product information on packages.:I pay attention to product information on packages.,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Price,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Durability,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Relevance of Product,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Advertising,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Package Size,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Reputation,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Design,How much is your purchasing decision regarding grocery items influenced by the following attributes? - Quality,I generally see myself more as a consumer of... - Manufacturer's branded products:Store branded products,When I share my food with friends (or when I host a party) I prefer to buy... - Manufacturer's branded products:Store branded products,"How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Price","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Durability","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Relevance of Product","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Advertising","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Package Size","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Reputation","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Design","How do you perceive store brands in comparison to manufacturer's brands with respect to the following factors?

 

Reminder: 

Store brands: Eigenmarke / Handelsmarke (e.g. S-Budget, Billa Corso etc.)

Manfacturer's Brand: Herstellermarke (e.g. Manner, Gösser etc.)​ - Quality","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_01zaEUGH1XsJB9r","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_0CEHZPxAI4TVqkJ","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_bOUrSoDKjZhocAZ","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_dgMuIHcFO2kvfGB","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_eKA6tz8Fb3F8PYh","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_42QW2bnz11PY0rr","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_54M9SLluyXBCYCN","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_eqzG2W4LbJIBwR7",Please rate the following products according to your perceived quality! - Store brand product  - €0.90 (€0.40/100 g),Please rate the following products according to your perceived quality! - Manufacturer's brand product - €2.49 (€1.48/100 g),Please rate the following products according to your perceived quality! - Store brand product  - €1.99 (€0.40/100g),Please rate the following products according to your perceived quality! - Manufacturer's brand product  - €3.49 (€1.48/100g),Please rate the following products according to your perceived quality! - Manufacturer's brand product  - €1.69 (€1.13/100g),Please rate the following products according to your perceived quality! - Store brand product - €1.89 (€0.47/100g),Please rate the following products according to your perceived quality! - Store brand product  - €1.59 (1 Liter),Please rate the following products according to your perceived quality! - Manufacturer's brand product  - €1.69 (1 Liter),"Imagine you have to buy cookies and you have to choose between the following products:



Milka Choco Cookies: 

manufacturer's brand

225 g

€2.49 

€1.48/100 g



Clever Chocolate Chip Cookies:

store brand

225 g

€0.90 

€0.40/100 g



Which product would you decide to buy?","What about frozen vegetables? You have to choose between the following two products:



Billa frozen vegetables:

manufacturer's brand
500 g

€1.99

€0.40/100 g



Iglo frozen vegetables:

store brand

650 g

€3.49 
€1.48/100 g



Which of the following two frozen vegetable bags would you buy?","Now you need to buy cheese and you have to choose between the following two products:

Schärdinger Gouda:


	manufacturer's brand
	150 g
	€1.69
	€1.13/100 g


S-Budget cheese:


	store brand
	400 g
	€1.89 
	€0.48/100 g


Which one would you buy?","Now you need to buy orange juice and you have to choose between the following two products:

Happy Day orange juice:


	manufacturer's brand
	1 Liter
	€1.69
	 

Merkur Immer Gut orange juice:


	store brand
	1 Liter
	€1.59 
	 

Which one would you buy?","Imagine that the manufacturer's brand has a discount for his name-branded product. However, it is still more expensive than the store-branded product of the same category... For which of the product groups A, B, C, and D would you choose to buy the discounted, yet still more expensive manufacturer's branded product? (multiple answers possible)","Please rank the following questions from ""Disagree"" to ""Agree"": - Before going shopping, I usually already know which brands I want to buy.","Please rank the following questions from ""Disagree"" to ""Agree"": - I usually use shopping lists.","Please rank the following questions from ""Disagree"" to ""Agree"": - I usually compare prices before my purchases.","Please rank the following questions from ""Disagree"" to ""Agree"": - I usually compare different brands before deciding on a certain product.","Please rank the following questions from ""Disagree"" to ""Agree"": - I see myself influenced by the packaging.","Please rank the following questions from ""Disagree"" to ""Agree"": - The grocery decisions of my friends/family influence my own shopping decisions.","Please rank the following questions from ""Disagree"" to ""Agree"": - I often purchase store brands because they are cheaper and the quality only differs slightly compared to manufacturer's brands.","Please rank the following questions from ""Disagree"" to ""Agree"": - If the manufacturer's brand is on promotion, yet still more expensive than the store brand, I will stick to the store brand.","Please rank the following questions from ""Disagree"" to ""Agree"": - If the perceived quality of store brand and manufacturer's brand is equal, I tend to purchase the (cheaper) store brand.","Please rank the following questions from ""Disagree"" to ""Agree"": - I feel bad about myself when I buy store brands.","Please rank the following questions from ""Disagree"" to ""Agree"": - I feel good about myself when I buy manufacturer's branded products.","Thank you for answering our questions on store and manufacturer's brands. Last but not least, we would like to ask you some demographical details for our study.



Age:",Gender:,Nationality: - Selected Choice,Nationality: - Other: - Text,What is your monthly overall budget?,Are you currently enrolled in a university program?,What is your current employment level? - Selected Choice,What is your current employment level? - Other: - Text,What is your highest level of completed education?,Who usually does the shopping for your household?,Do you usually buy groceries for other people than yourself?,"If you have any feedback, questions or comments on our questionnaire, you can share it with us here. Thank you!",Q18_1_1 - Topics
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID58""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID29_7""}","{""ImportId"":""QID29_8""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID63_8""}","{""ImportId"":""QID35_1_1""}","{""ImportId"":""QID35_1_2""}","{""ImportId"":""QID35_1_3""}","{""ImportId"":""QID35_1_4""}","{""ImportId"":""QID35_1_5""}","{""ImportId"":""QID35_1_6""}","{""ImportId"":""QID35_1_7""}","{""ImportId"":""QID35_1_8""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID33_7""}","{""ImportId"":""QID33_8""}","{""ImportId"":""QID34""}","{""ImportId"":""QID65""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_2_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID57""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_6_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID35_1_1_8232edde4a664dc5a61560aaTopics""}"
2017-11-01 20:33:23,2017-11-01 20:40:14,0,80.110.67.235,100,410,1,2017-11-01 20:40:14,R_1MJUQUhiKwx2IzW,,,,,48.199996948242,16.350006103516,anonymous,EN,"1,2,3,4,5,6,7,8",60,5,5,5,1,3,1,4,5,5,4,4,5,5,4,4,3,8,7,6,6,4,4,2,3,2,5,4,5,2,1,4,3,3,2,2,2,2,2,2.5,1.5,2,3,2,1.5,2,1.5,3,5,4,5,4,3,3,5,1,2,1,1,"1,2,4",2,5,4,4,5,2,4,4,4,2,4,2,2,1,,3,1,3,,4,1,1,,Unknown
2017-11-01 20:39:19,2017-11-01 20:47:40,0,80.110.126.241,100,501,1,2017-11-01 20:47:41,R_DzQyX0VQ1wJCHrX,,,,,48.198104858398,16.394805908203,anonymous,EN,"1,2,3,4,5,6,7,8",50,5,4,3,3,4,3,3,4,5,4,2,3,4,3,5,3,6,6,3,8,2,5,5,1,2,4,1,5,3,3,5,3,2,2,4,1,2,3,3.5,3,3.5,4,2.5,2,2,1.5,4,4,5,5,4,4,4,5,1,2,1,1,"1,2,4",5,5,4,4,1,2,5,3,4,1,3,2,2,1,,4,1,3,,3,1,2,,Unknown
2017-11-01 20:48:02,2017-11-01 20:55:10,0,193.81.227.168,100,428,1,2017-11-01 20:55:11,R_1DCQgnHAXdnP7fl,,,,,48.259094238281,16.333892822266,anonymous,EN,"1,2,3,4,5,6,7,8",60,5,5,4,1,4,3,3,5,5,2,5,3,3,2,4,1,6,6,8,7,5,2,4,1,4,4,3,4,5,2,5,3,3,1,3,3,2,3,2,2,2.5,3,2.5,1.5,2,1.8,5,4,4,4,3,2,3,5,2,1,1,1,"2,3,4",2,5,5,4,4,4,5,4,5,2,3,2,2,1,,2,1,3,,4,1,1,,Unknown
2017-11-01 20:58:26,2017-11-01 21:11:39,0,46.125.250.4,100,793,1,2017-11-01 21:11:40,R_3s5LA1WJX922dkb,,,,,48.199996948242,16.36669921875,anonymous,EN,"2,4,5,7,8",65,3,3,5,3,3,5,1,4,5,4,4,2,5,3,5,3,8,8,8,8,4,4,5,3,4,4,4,4,3,3,5,3,3,5,5,2,5,3,2.5,.99,2.00,2.50,2.00,.99,1.99,1.99,3,1,1,2,1,3,1,3,2,2,1,2,"1,2",1,5,4,4,4,4,4,5,5,1,3,4,2,1,,3,2,1,,5,1,2,,Unknown
2017-11-01 21:02:18,2017-11-01 21:13:23,0,212.88.16.74,100,665,1,2017-11-01 21:13:23,R_85EN7D7yxhD4L4J,,,,,48.207702636719,16.175399780273,anonymous,EN,"1,2,3,4,5,6,7,8",131,3,5,4,1,1,1,1,5,5,1,4,1,5,3,4,1,3,1,7,2,4,3,5,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1.5,1.5,4,2,5,5,5,4,3,5,2,1,2,1,"2,3",1,2,5,3,4,3,3,3,3,3,3,1,1,1,,1,2,5,,3,2,2,,Unknown
2017-11-01 21:05:37,2017-11-01 21:13:26,0,80.110.233.215,100,468,1,2017-11-01 21:13:26,R_1jqUcCG1C3vePS5,,,,,47.023193359375,15.533706665039,anonymous,EN,"1,2,3,4,5,6,7,8",40,5,5,1,3,5,1,1,5,5,4,4,2,4,4,5,1,5,6,6,6,4,2,2,2,4,4,3,5,4,3,5,3,3,2,4,2,3,3,2,1.5,2,3,3.5,3,3,3,3,4,4,4,3,3,5,4,2,2,1,2,3,4,2,4,2,4,2,4,4,5,2,3,2,2,1,,2,1,3,,4,1,2,,Unknown
2017-11-01 20:57:22,2017-11-01 21:15:16,0,178.115.131.21,100,1073,1,2017-11-01 21:15:16,R_2WMXvmqXeCgiOw7,,,,,48.198104858398,16.394805908203,anonymous,EN,"1,2,3,4,5,6,7,8",55,5,4,4,3,4,1,3,5,5,2,4,1,2,3,5,2,5,3,8,8,5,2,4,2,4,3,2,4,4,2,4,3,3,3,3,2,2,3,2.9,1.9,2.5,2.8,2.9,1.9,1.9,1.0,3,4,3,4,4,3,4,3,1,2,2,2,"1,2",3,5,5,5,3,1,5,3,5,1,2,2,2,1,,2,1,2,,4,1,1,,Unknown
2017-11-01 21:06:42,2017-11-01 21:15:46,0,217.173.107.58,100,543,1,2017-11-01 21:15:46,R_2w7Fk8RjbtI88cU,,,,,53.338897705078,-6.2595062255859,anonymous,EN,"1,2,3,4,5,6,7,8",100,5,3,5,3,3,3,1,2,4,1,2,4,3,1,4,1,7,3,7,8,5,3,5,4,5,4,2,4,3,3,4,3,3,1,3,2,2,3,0.50,0.50,1,1.5,1.5,1,2,2,3,5,2,5,5,4,4,5,2,2,2,1,"2,3",5,2,4,5,2,1,5,3,5,3,3,3,1,1,,4,1,5,,4,1,2,,Unknown
