"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @xavitorresll: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:36:29,FALSE,NA,"920010579913461765",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiDiA_8v",46,TRUE,FALSE,NA,NA
"2","RT @villacampa8: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:36:05,FALSE,NA,"920010475865288704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dani_iniguez",3,TRUE,FALSE,NA,NA
"3","RT @sorluciacaram: Ayudemos a @openarms_fund Son ellos los que rescatan vidas. Nos necesitan. Los gobiernos los persiguen.  Son nuestros al…",FALSE,0,NA,2017-10-16 19:34:15,FALSE,NA,"920010014403817478",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vmariaflix",19,TRUE,FALSE,NA,NA
"4","RT @xavitorresll: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:34:03,FALSE,NA,"920009964147666944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alborinistica",46,TRUE,FALSE,NA,NA
"5","RT @villacampa8: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:31:29,FALSE,NA,"920009318166138885",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IbraHotm",3,TRUE,FALSE,NA,NA
"6","RT @villacampa8: Salvar vidas es un incentivo tan importante como para resistir hasta el final. Ánimos @openarms_fund Lo De acoger ya si es…",FALSE,0,NA,2017-10-16 19:30:35,FALSE,NA,"920009094936834049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jordirama",171,TRUE,FALSE,NA,NA
"7","RT @villacampa8: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:27:42,FALSE,NA,"920008367753580544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lospictosn1",3,TRUE,FALSE,NA,NA
"8","Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. N… https://t.co/bupozcz40y",FALSE,2,NA,2017-10-16 19:27:22,TRUE,NA,"920008285968838656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","villacampa8",3,FALSE,FALSE,NA,NA
"9","RT @xavitorresll: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:26:00,FALSE,NA,"920007942136586242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ennaji_buchi",46,TRUE,FALSE,NA,NA
"10","RT @bertral: Sembla Astèrix! Una petita carpa de resistència i dignitat, al @EsperanzahWMF amb @jordievole @AlguerMiquel @openarms_fund @en…",FALSE,0,NA,2017-10-16 19:24:30,FALSE,NA,"920007562698911750",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","temiquelor",51,TRUE,FALSE,NA,NA
"11","RT @villacampa8: Salvar vidas es un incentivo tan importante como para resistir hasta el final. Ánimos @openarms_fund Lo De acoger ya si es…",FALSE,0,NA,2017-10-16 19:19:02,FALSE,NA,"920006187013361664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_MiracleDrug_",171,TRUE,FALSE,NA,NA
"12","RT @xavitorresll: Dijous 19, al Museu Marítim de BCN, exposició fotogràfica dels 2 anys de batalla de @openarms_fund i @campsoscar. No pots…",FALSE,0,NA,2017-10-16 19:18:02,FALSE,NA,"920005935988379648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lamantaescorta",46,TRUE,FALSE,NA,NA
