"sales"	"price"	"adspend"	"adm"
1033	279	862	1572
1757	96	830	1039
1571	232	940	1198
1444	174	774	411
710	229	861	459
789	191	617	584
318	253	566	695
495	213	480	1069
1740	156	1074	1212
1031	228	617	1059
1245	181	590	1351
1492	145	846	930
1558	299	773	968
799	220	652	308
1325	257	768	1746
1744	124	830	1065
1267	174	643	439
1917	237	926	1737
1814	195	774	502
1051	209	822	1724
773	154	692	1159
1427	223	589	1579
1728	179	990	1169
1002	241	650	1630
1608	142	663	1582
1719	198	776	814
702	257	594	1306
1173	256	746	1721
1409	254	700	1355
1306	191	812	1235
806	214	854	1412
1429	137	930	584
804	204	696	609
992	145	846	873
2099	185	890	1158
739	281	786	1092
1622	216	1030	1472
861	152	641	1232
2043	195	1149	1591
1827	153	861	1050
1742	234	977	2202
1720	224	1030	829
2169	157	960	1071
1142	224	635	1116
1196	200	769	1866
1124	204	894	1827
1446	187	746	1475
938	326	674	846
821	249	557	1203
1258	164	628	1161
1412	222	838	1464
1230	157	687	1994
743	248	628	1317
564	172	504	1589
998	181	808	554
1018	225	507	1192
1160	203	870	444
1714	170	755	1336
1830	155	984	993
888	215	633	939
631	238	629	1073
430	294	686	1780
216	264	552	877
1170	158	655	1428
690	151	690	1122
461	222	488	1208
1194	180	914	740
856	127	393	1478
965	190	536	1606
511	256	613	1177
1734	161	841	707
1416	183	847	1275
1494	134	641	828
300	251	633	1928
697	234	716	1212
1448	212	970	1004
1560	113	727	1250
992	252	801	1219
1464	215	936	1462
1688	131	812	935
655	201	458	815
1434	194	879	623
2097	128	890	1086
700	187	532	1091
1083	125	635	1078
1180	135	657	1720
910	222	488	1573
41	303	540	1506
678	266	714	1058
1029	200	656	931
1342	202	771	911
1653	114	852	967
915	219	649	1081
1163	273	614	1614
820	196	695	1156
1682	285	807	1492
1092	188	732	1357
1541	164	788	1786
1058	181	564	1273
1059	208	807	1380
1598	241	945	490
1607	193	793	900
1112	290	738	1076
629	175	573	1619
21	209	638	972
2579	182	1163	2102
1211	248	700	1227
1130	201	721	891
363	281	832	409
1543	148	847	1962
1102	198	749	1132
1429	190	852	947
1154	240	755	1489
1708	133	747	1320
1607	150	818	1289
1384	223	831	1023
939	283	820	1190
396	232	630	366
1473	217	794	1531
1427	162	827	902
965	178	748	656
1950	147	958	1430
1343	181	698	1375
346	220	551	1477
709	182	772	1699
983	166	807	1348
405	255	474	1808
1093	219	804	1733
895	133	742	817
1671	133	943	888
1525	234	976	1584
826	161	736	1233
1300	234	875	1179
1586	162	768	973
892	128	679	991
739	251	726	444
1778	178	789	1331
807	165	607	1032
1236	79	557	1545
1439	211	882	381
1346	168	893	1391
492	249	568	1105
1084	142	893	901
727	186	344	1404
904	203	708	1723
1362	169	757	670
1216	259	925	1094
1481	116	637	662
1388	322	871	1136
1219	158	760	1116
1278	270	794	1173
1744	101	817	1015
1642	189	863	1269
694	143	614	1044
1297	187	738	2095
1364	143	885	1376
1074	235	635	908
1173	262	825	872
606	261	706	1831
1377	188	1005	1703
431	155	530	1281
1433	211	736	1715
1629	200	870	1108
1419	147	919	1344
596	179	476	1167
1747	102	830	1146
1137	185	741	1464
1408	152	586	1509
1195	219	632	1259
873	162	697	1133
609	218	690	1111
1510	233	907	1555
422	275	853	1833
528	185	597	1670
1326	175	914	789
951	310	650	2160
958	176	815	1112
961	295	914	1361
1565	239	887	989
1361	144	623	1979
1137	194	831	971
1515	191	748	1348
182	216	614	467
1286	164	882	1282
1395	250	870	796
1125	152	860	1047
1531	229	1005	1450
1113	230	660	1239
939	211	655	1479
982	199	819	690
1071	237	761	1686
1395	214	816	982
1509	212	784	1877
976	230	692	1619
724	167	636	1114
907	160	715	983
934	147	654	611
419	204	573	1056
967	199	671	1542
918	181	842	2091
873	238	609	1617
1016	175	610	1383
1598	151	926	1799
2104	185	802	924
1628	151	774	1191
1729	251	941	1384
1224	281	891	1149
1440	251	695	1716
1126	161	670	1400
1207	272	796	1929
317	244	556	1041
1217	233	817	1050
1356	176	778	1875
1178	288	856	2023
1095	218	858	947
1169	202	700	859
690	171	701	1151
2120	108	877	1313
810	246	790	1517
1248	266	869	1050
786	186	729	1661
582	177	608	734
95	155	232	1359
525	222	714	412
1458	236	852	598
1369	187	769	615
719	212	619	1061
922	211	608	929
1204	289	1095	893
848	182	662	811
1673	143	788	1012
1098	205	688	410
1182	200	838	805
630	268	663	2185
771	124	617	1021
1137	292	782	1327
1303	104	710	1257
1239	185	628	1910
632	164	845	1264
1001	251	811	351
1606	211	1000	1236
1417	147	654	1186
1252	193	692	1385
974	229	603	1484
1002	197	604	1067
312	157	434	724
1390	224	809	462
1116	229	852	1261
1418	196	896	1099
