streams_sd	online_advertising	customer_rating	streams_hd	movieID	genre	academy_award
4055	1	5	2897	1	1	1
3502	0	5	1680	2	1	1
5361	1	5	1917	3	1	0
4686	1	5	935	4	1	1
3655	1	3	2660	5	1	1
3588	1	4	1663	6	1	0
3045	0	5	956	7	1	0
842	0	1	1884	8	1	1
2848	1	1	1745	9	1	1
1488	1	5	1687	10	1	1
4432	1	4	2968	11	1	1
3808	0	5	2436	12	1	1
2198	1	5	3018	13	1	1
3161	0	3	1855	14	1	1
2346	0	3	1978	15	1	1
2742	1	1	2771	16	1	0
1801	0	2	1730	17	1	1
1139	0	1	547	18	1	1
2377	0	4	1105	19	1	1
3550	0	5	1296	20	1	1
3630	1	5	4127	21	1	0
1915	0	3	1624	22	1	0
3585	1	4	3128	23	1	1
3986	1	5	1191	24	1	1
2055	0	3	1092	25	1	1
2557	0	3	1084	26	1	1
2389	1	2	1895	27	1	1
963	0	1	1256	28	1	0
3737	1	4	2875	29	1	1
3113	1	3	2071	30	1	1
1507	0	3	1275	31	1	1
1630	0	2	1030	32	1	0
2884	1	2	2095	33	1	0
4884	1	4	1957	34	1	1
1111	0	1	930	35	1	0
950	0	2	2108	36	1	1
1827	0	4	1549	37	2	1
986	0	2	951	38	2	0
3038	1	1	2813	39	2	1
1475	0	2	1541	40	2	1
3091	0	4	903	41	2	0
2129	0	4	1182	42	2	1
4926	1	3	3145	43	2	0
1984	0	4	2078	44	2	1
2326	1	5	1957	45	2	0
3981	1	5	2303	46	2	0
4659	1	5	2673	47	2	1
910	0	3	931	48	2	0
2710	0	3	1961	49	2	0
2274	1	5	2900	50	2	1
2596	0	4	1358	51	2	1
874	0	3	1434	52	2	1
1698	0	2	1229	53	2	1
2505	0	4	1227	54	2	0
2764	1	2	2289	55	2	0
4559	1	4	2020	56	2	1
5037	1	4	1829	57	2	1
3274	0	4	1974	58	2	1
3740	1	3	3296	59	2	0
1383	0	3	1648	60	2	1
2077	0	3	2014	61	2	0
4665	1	4	3088	62	2	0
862	0	1	1655	63	2	0
3305	1	4	2091	64	2	1
1082	0	1	1590	65	2	0
3146	0	5	1253	66	2	1
4422	1	5	2427	67	2	0
1574	0	2	1829	68	2	1
1542	0	2	1661	69	2	0
1031	0	1	1305	70	2	1
1662	0	2	1746	71	2	0
3537	0	5	1023	72	2	1
6339	1	5	1651	73	2	1
4812	1	5	2974	74	2	1
1172	0	1	1508	75	2	0
1867	1	2	1159	76	2	0
2450	1	3	1412	77	2	1
1862	0	2	1840	78	2	1
1911	1	5	2822	79	2	0
1406	0	1	1359	80	2	0
2717	0	4	1002	81	2	1
3286	0	5	1599	82	2	1
2763	0	4	1608	83	3	1
6253	1	5	2657	84	3	1
2892	1	3	1070	85	3	0
3459	1	4	2556	86	3	1
3264	1	4	2450	87	3	0
2744	1	3	1934	88	3	0
4186	1	5	1981	89	3	1
2395	0	5	2405	90	3	1
1836	0	4	1352	91	3	0
3455	1	3	1802	92	3	0
2789	0	4	2159	93	3	1
2006	0	4	1608	94	3	0
2725	1	3	973	95	3	0
4922	1	5	2116	96	3	1
3364	0	5	1528	97	3	0
960	0	2	974	98	3	1
3749	1	5	1988	99	3	0
2634	1	5	2369	100	3	0
3856	1	4	2618	101	3	1
1015	0	1	2175	102	3	1
1657	0	3	2221	103	3	0
735	0	1	2040	104	3	1
1491	0	3	1656	105	3	0
4228	1	3	2084	106	3	1
3500	1	2	1888	107	3	0
3795	1	3	3097	108	3	1
3601	1	2	4189	109	4	0
4028	1	3	2431	110	4	0
3261	0	5	1722	111	4	0
1203	0	3	1808	112	4	0
3517	1	4	1466	113	4	0
4140	1	5	2334	114	4	1
3461	1	4	1997	115	4	0
1847	0	4	1495	116	4	0
2422	0	3	1750	117	4	1
2688	1	3	3007	118	4	0
2996	0	5	1314	119	4	1
3061	0	5	1640	120	4	1
1594	0	3	965	121	4	0
3576	1	3	2690	122	4	0
3679	1	3	2493	123	4	1
3527	1	4	1400	124	4	0
3950	1	4	3421	125	4	0
1181	0	1	1654	126	4	1
3118	1	2	2433	127	4	0
2019	0	2	1478	128	4	0
3857	1	5	3428	129	4	1
5148	1	3	3093	130	4	1
3312	1	2	1968	131	4	0
1020	0	1	1912	132	4	1
2523	1	1	2122	133	4	0
3679	0	5	1647	134	4	1
1064	0	2	1756	135	4	0
2259	1	3	2080	136	4	0
1377	0	2	1892	137	4	1
3512	1	3	2472	138	4	1
4788	1	3	2957	139	4	0
3662	1	3	3312	140	4	1
2909	1	4	1271	141	4	0
3235	1	4	2584	142	4	1
3261	1	3	3145	143	4	0
1160	0	1	1924	144	4	0
4767	1	5	2317	145	4	0
4203	1	5	3259	146	4	1
2645	1	4	1967	147	4	1
1915	1	4	368	148	4	1
2375	0	4	1086	149	4	0
4616	1	4	3014	150	4	1
3001	0	5	527	151	4	1
3855	1	3	1062	152	4	1
2891	0	3	1910	153	4	1
2714	0	4	708	154	4	1
3411	0	5	988	155	4	0
4122	1	5	1602	156	4	0
3120	1	5	1669	157	4	1
3348	0	5	1093	158	4	0
3333	0	5	1324	159	4	0
2396	1	3	1793	160	4	0
2263	0	4	1811	161	4	0
2478	1	4	1717	162	4	0
4292	1	5	2199	163	4	0
898	0	1	1253	164	4	0
6490	1	5	1515	165	4	1
2714	1	5	1875	166	5	1
3217	1	4	1887	167	5	0
2336	0	5	888	168	5	0
815	0	1	1008	169	5	0
2980	1	4	1147	170	5	0
796	0	2	1680	171	5	1
2009	0	3	2210	172	5	0
3041	0	3	1226	173	5	0
1922	0	3	1545	174	5	0
3170	0	5	768	175	5	1
1454	0	3	2248	176	5	0
3042	1	3	556	177	5	1
2178	0	4	898	178	5	0
1497	0	2	1423	179	5	0
2944	1	5	2638	180	5	1
2326	0	3	475	181	5	1
3627	1	5	3841	182	5	0
2592	1	5	1012	183	5	0
2873	0	4	1153	184	5	0
3074	1	5	2401	185	5	1
5214	1	5	2406	186	5	1
3608	1	4	1776	187	5	0
1648	0	3	1758	188	5	0
2969	0	4	1448	189	5	0
2925	0	5	1474	190	5	1
3210	0	5	1855	191	5	0
1159	1	4	2330	192	5	1
3229	1	2	1536	193	5	0
712	0	2	1049	194	5	0
1464	0	3	1849	195	5	1
2547	0	5	1894	196	5	1
1776	0	4	1609	197	5	0
2642	1	1	3381	198	5	1
3916	1	4	1959	199	5	1
3487	1	4	1414	200	5	0
