Customer ID,Choice,Gender,Amt_purchased,Frequency,Last_Purchase,First_purchase,P_Child,P_Youth,P_Cook,P_DIY,P_Art
1,0,1,317,16,2,22,1,0,0,0,0
2,0,1,345,30,5,50,2,0,1,1,0
3,1,1,282,16,6,42,1,1,0,0,2
4,0,0,310,8,4,32,1,0,0,1,0
5,0,0,164,12,3,24,0,1,2,0,0
6,1,0,145,6,3,12,2,0,0,1,0
7,0,0,331,26,7,42,3,1,1,1,1
8,0,1,156,30,5,50,3,1,0,1,0
9,0,1,293,2,9,26,0,1,2,2,1
10,0,1,245,16,2,24,2,0,0,0,0
11,1,1,297,8,3,14,0,1,0,0,1
12,0,0,61,14,1,14,1,0,0,0,0
13,0,1,173,8,11,66,4,0,3,2,1
14,0,1,304,12,2,16,0,0,1,0,1
15,0,0,232,16,1,16,0,0,1,0,0
16,0,1,253,6,12,38,8,0,1,1,0
17,0,1,89,30,1,30,0,0,0,0,0
18,0,1,226,28,1,28,0,0,1,0,0
19,1,0,18,14,1,14,0,1,0,0,0
20,1,1,280,10,1,10,1,0,0,0,0
21,1,1,198,2,12,62,2,3,2,1,2
22,0,1,274,12,2,20,1,0,0,0,1
23,0,1,299,12,1,12,1,0,0,0,0
24,1,0,183,8,1,8,0,0,0,0,1
25,0,1,268,14,2,18,1,0,0,0,1
26,0,0,24,8,1,8,1,0,0,0,0
27,0,1,181,16,1,16,0,0,0,1,0
28,0,1,250,4,2,12,0,1,1,0,0
29,0,1,182,10,1,10,0,0,0,0,0
30,0,1,98,4,2,8,0,0,0,1,1
31,0,1,129,2,1,2,0,0,0,0,0
32,0,1,275,2,1,2,0,0,0,1,0
33,0,1,285,22,1,22,0,0,1,0,0
34,0,1,394,8,11,72,4,1,3,1,2
35,0,0,388,14,10,54,4,1,2,0,0
36,0,0,399,8,10,54,1,1,4,1,2
37,1,0,234,8,5,24,2,0,0,1,2
38,0,1,44,16,2,20,0,0,0,1,1
39,0,0,172,4,2,8,0,0,0,2,0
40,0,1,135,36,2,38,1,1,0,0,0
41,0,0,292,12,4,28,3,0,0,0,0
42,1,1,249,16,1,16,1,0,0,0,0
43,0,1,284,12,1,12,0,0,0,0,0
44,0,1,260,20,2,22,0,0,2,0,0
45,0,1,106,30,1,30,1,0,0,0,0
46,1,0,243,12,9,52,2,1,1,1,3
47,1,1,256,2,11,38,4,2,3,0,1
48,0,1,320,28,3,38,0,0,2,0,1
49,0,1,303,16,2,22,0,0,1,0,1
50,1,0,192,10,1,10,0,0,1,0,0
51,0,1,129,10,1,10,1,0,0,0,0
52,0,1,230,2,1,2,1,0,0,0,0
53,0,1,283,34,2,36,1,0,0,0,1
54,1,0,285,8,1,8,1,0,0,0,0
55,0,0,328,34,9,62,1,0,4,2,0
56,0,1,158,2,3,10,1,0,2,0,0
57,0,1,157,12,1,12,0,0,0,0,0
58,1,0,243,28,1,28,0,1,0,0,0
59,1,1,57,2,2,8,0,0,1,0,1
60,0,0,71,20,2,24,0,0,0,0,0
61,0,1,152,16,1,16,0,0,1,0,0
62,0,0,32,14,1,14,0,0,0,0,1
63,0,1,302,16,1,16,0,1,0,0,0
64,1,1,224,10,10,62,3,0,2,0,3
65,0,1,292,18,1,18,1,0,0,0,0
66,0,1,241,22,1,22,0,0,1,0,0
67,0,1,212,16,1,16,1,0,0,0,0
68,0,1,252,6,2,14,1,0,0,0,0
69,0,1,314,10,1,10,0,0,0,0,1
70,0,0,344,12,3,22,1,0,2,0,0
71,0,0,152,18,1,18,1,0,0,0,0
72,0,1,147,14,2,18,0,1,0,0,0
73,0,0,145,2,1,2,0,0,1,0,0
74,0,1,96,12,1,12,0,0,0,0,0
75,0,1,162,4,1,4,1,0,0,0,0
76,0,1,143,10,1,10,1,0,0,0,0
77,0,1,131,24,2,28,1,0,1,0,0
78,1,0,227,30,2,34,1,0,0,0,1
79,0,1,196,10,2,18,2,0,0,0,0
80,0,0,135,16,1,16,0,0,1,0,0
81,1,0,196,6,2,10,0,0,0,0,1
82,0,1,302,16,11,62,3,3,1,2,1
83,0,0,185,14,6,44,1,0,3,1,1
84,0,1,186,10,1,10,0,0,1,0,0
85,0,1,244,12,1,12,0,0,1,0,0
86,0,1,245,24,5,46,2,1,1,1,0
87,1,1,262,10,1,10,0,0,0,1,0
88,1,0,188,4,5,28,1,0,2,1,1
89,0,0,122,16,1,16,0,0,1,0,0
90,1,0,270,4,4,22,2,2,0,0,0
91,0,0,189,6,2,12,0,1,0,0,1
92,0,1,16,12,1,12,0,0,1,0,0
93,0,1,189,30,6,60,1,0,2,0,2
94,0,1,297,10,1,10,1,0,0,0,0
95,1,1,65,6,1,6,1,0,0,0,0
96,1,1,295,10,1,10,0,0,1,0,0
97,0,1,176,12,1,12,0,1,0,0,0
98,0,1,248,36,1,36,0,1,0,0,0
99,0,0,382,6,6,40,1,1,3,0,1
100,0,1,105,14,2,20,0,1,0,0,0
101,0,0,255,16,1,16,0,0,0,1,0
102,0,1,167,4,11,58,2,3,4,1,0
103,1,0,180,8,2,12,0,1,0,1,0
104,0,0,277,14,1,14,0,0,1,0,0
105,0,1,323,12,7,44,2,0,2,2,0
106,0,1,238,4,2,8,1,0,0,1,0
107,0,1,261,6,10,54,1,1,4,1,1
108,0,1,231,2,2,8,0,0,0,1,0
109,0,1,135,6,1,6,0,1,0,0,0
110,0,0,277,20,1,20,0,1,0,0,0
111,0,0,401,16,8,54,1,0,2,1,2
112,0,1,54,28,1,28,0,0,0,0,1
113,0,1,180,4,2,6,1,0,0,1,0
114,1,0,202,10,6,40,0,0,0,0,3
115,0,1,59,14,1,14,0,0,1,0,0
116,0,0,103,18,2,24,1,0,1,0,0
117,0,1,81,10,1,10,0,0,0,0,0
118,0,0,152,8,1,8,1,0,0,0,0
119,1,0,169,4,11,50,1,0,2,4,3
120,1,0,191,16,8,50,2,1,1,1,1
121,0,1,147,34,2,36,1,0,1,0,0
122,0,1,72,12,2,18,1,0,0,0,0
123,1,1,41,6,1,6,0,0,0,0,1
124,0,0,282,8,6,24,3,0,1,0,1
125,0,1,223,8,4,20,1,1,2,0,0
126,0,1,113,12,1,12,0,0,1,0,0
127,1,0,122,8,7,26,1,0,2,1,1
128,0,0,147,12,1,12,0,1,0,0,0
129,0,1,244,2,2,8,0,0,0,1,0
130,1,1,235,10,9,40,3,0,1,1,1
131,0,1,106,16,1,16,0,0,1,0,0
132,0,1,235,2,1,2,1,0,0,0,0
133,0,1,226,2,1,2,0,0,1,0,0
134,0,1,104,18,1,18,1,0,0,0,0
135,1,1,204,14,2,22,0,0,1,0,0
136,0,0,44,12,2,20,0,0,2,0,0
137,0,1,135,2,2,6,1,0,0,0,0
138,0,1,218,14,1,14,0,0,0,1,0
139,0,1,153,8,1,8,0,0,0,0,1
140,1,1,302,10,5,26,0,0,0,1,2
141,1,1,367,12,12,72,3,0,3,0,1
142,0,1,248,10,2,12,0,0,0,0,0
143,0,1,277,14,2,20,1,0,1,0,0
144,1,1,272,16,1,16,0,0,0,0,1
145,0,1,228,8,10,46,4,0,3,2,0
146,0,1,114,12,1,12,0,0,0,0,1
147,0,1,260,30,2,38,0,0,1,0,1
148,0,0,141,2,2,4,0,0,2,0,0
149,0,1,274,14,2,16,0,0,1,0,1
150,1,0,418,16,8,32,1,1,1,2,3
151,0,1,95,16,1,16,0,0,1,0,0
152,0,1,84,14,2,22,1,0,0,1,0
153,0,0,148,8,1,8,0,0,1,0,0
154,0,1,295,6,9,56,2,0,1,3,1
155,0,1,264,12,3,18,2,0,0,1,0
156,1,0,147,8,2,12,0,0,0,0,1
157,0,0,218,10,2,18,1,0,0,1,0
158,0,1,263,8,2,14,0,0,1,1,0
159,0,0,264,16,8,62,2,1,3,0,1
160,1,0,115,2,3,16,1,0,0,1,0
161,1,0,90,4,1,4,0,0,0,0,0
162,1,1,66,10,1,10,0,0,1,0,0
163,1,1,183,2,1,2,1,0,0,0,0
164,0,1,193,16,1,16,0,0,1,0,0
165,1,1,120,4,2,6,0,0,2,0,0
166,0,1,261,10,2,18,0,0,1,1,0
167,0,0,272,12,6,24,0,1,2,0,0
168,0,1,243,14,10,62,4,0,1,2,1
169,0,1,126,8,2,16,0,0,0,1,0
170,1,0,345,14,6,38,1,1,1,0,2
171,0,1,303,36,1,36,0,0,0,0,0
172,1,1,281,12,2,16,0,0,1,0,1
173,0,1,332,10,5,28,1,1,3,0,0
174,1,0,185,10,10,40,2,1,3,1,2
175,1,0,330,14,12,84,2,0,3,3,3
176,0,1,300,14,7,46,2,1,4,0,0
177,0,1,288,4,1,4,0,0,1,0,0
178,0,1,364,16,8,60,0,1,3,0,1
179,0,1,367,18,8,40,2,1,3,0,0
180,0,1,234,32,1,32,0,0,0,0,1
181,0,1,262,2,8,30,1,0,3,0,1
182,0,1,41,14,1,14,1,0,0,0,0
183,0,1,125,6,2,8,1,0,1,0,0
184,0,1,268,12,2,18,0,1,1,0,0
185,0,0,183,30,5,44,2,0,0,1,0
186,0,0,34,10,2,16,1,0,0,1,0
187,0,0,221,22,2,24,0,0,2,0,0
188,0,0,93,16,1,16,1,0,0,0,0
189,1,1,276,8,2,12,1,0,1,0,0
190,1,0,200,16,2,18,2,0,0,0,0
191,0,1,213,2,1,2,0,0,0,0,1
192,0,1,185,8,2,12,2,0,0,0,0
193,1,1,268,8,4,30,1,1,0,0,2
194,0,1,161,2,1,2,0,0,1,0,0
195,0,1,132,6,2,8,0,0,1,0,0
196,0,1,175,36,1,36,0,0,0,0,0
197,0,1,281,2,1,2,0,0,0,0,0
198,1,1,303,2,2,6,0,1,0,0,1
199,0,0,175,6,10,42,4,1,2,2,0
200,0,1,175,8,1,8,0,0,0,0,0
201,0,1,41,12,2,18,1,1,0,0,0
202,0,1,73,14,4,32,2,0,0,0,1
203,0,1,202,8,4,30,4,0,0,0,0
204,1,1,168,6,2,12,1,0,0,0,1
205,1,1,108,6,2,10,1,0,1,0,0
206,0,1,397,4,11,60,4,0,3,1,1
207,0,1,154,8,7,24,3,0,2,0,1
208,0,1,261,6,1,6,1,0,0,0,0
209,1,0,48,10,1,10,0,1,0,0,0
210,0,0,253,16,2,20,1,0,0,0,0
211,0,1,206,12,1,12,0,0,0,0,1
212,0,1,125,14,2,16,0,1,0,0,1
213,0,0,235,12,2,14,1,0,0,1,0
214,1,0,90,2,3,16,1,0,1,1,0
215,0,1,202,10,1,10,0,1,0,0,0
216,0,1,141,16,2,18,0,0,0,1,1
217,0,1,49,10,2,14,0,0,0,1,0
218,0,1,131,10,1,10,0,0,0,0,0
219,0,0,228,4,8,32,1,0,2,3,0
220,1,0,309,4,2,8,0,0,1,0,0
221,0,1,153,10,1,10,1,0,0,0,0
222,0,1,202,16,11,40,0,0,3,1,1
223,1,1,247,16,2,18,1,0,0,0,0
224,0,1,281,14,1,14,0,0,1,0,0
225,0,1,192,8,1,8,0,0,0,1,0
226,1,0,72,8,2,16,0,1,0,0,1
227,0,0,29,4,1,4,0,1,0,0,0
228,1,0,352,16,7,56,2,0,1,1,0
229,0,0,258,8,10,44,2,2,2,3,0
230,0,1,334,8,9,28,1,1,3,1,1
231,0,1,30,4,1,4,0,0,0,1,0
232,0,1,194,14,2,22,0,0,0,0,2
233,1,0,314,2,1,2,1,0,0,0,0
234,0,1,68,16,1,16,0,0,0,0,1
235,0,1,88,30,2,38,0,1,0,0,1
236,0,0,215,16,1,16,0,0,1,0,0
237,0,1,198,12,6,34,2,0,2,1,0
238,0,1,102,12,2,16,0,0,0,1,1
239,0,0,317,16,2,22,1,0,0,1,0
240,0,0,99,26,4,50,2,1,0,1,0
241,0,1,114,16,1,16,0,0,0,0,1
242,0,1,78,10,2,14,1,0,1,0,0
243,1,1,84,2,2,4,0,0,0,0,1
244,0,1,108,12,6,32,3,0,1,0,1
245,1,1,474,12,12,46,2,1,1,1,4
246,1,0,222,14,2,20,0,0,0,0,1
247,0,1,294,6,2,8,0,1,1,0,0
248,1,1,291,2,1,2,0,0,0,0,1
249,0,1,316,16,6,32,3,1,0,1,1
250,0,0,143,12,3,26,2,0,0,1,0
251,0,1,46,10,2,16,0,0,0,2,0
252,1,0,39,26,1,26,0,1,0,0,0
253,0,1,24,6,1,6,0,1,0,0,0
254,0,1,115,30,2,34,0,0,1,0,1
255,0,0,218,6,1,6,0,0,1,0,0
256,1,1,125,16,2,18,0,0,0,0,0
257,0,0,18,2,1,2,0,0,1,0,0
258,0,0,282,14,2,18,0,0,0,1,1
259,0,1,74,34,2,38,0,1,0,0,0
260,0,0,371,4,6,38,2,2,1,0,1
261,0,1,240,14,1,14,1,0,0,0,0
262,1,1,224,10,4,32,1,1,1,0,1
263,0,1,249,12,1,12,0,0,0,0,0
264,0,1,247,10,1,10,1,0,0,0,0
265,0,1,95,26,2,34,0,0,1,0,1
266,0,1,38,8,1,8,0,0,1,0,0
267,0,1,151,12,2,16,1,0,1,0,0
