"movieID"	"online_advertising"	"streams_sd"	"streams_hd"
1	"0"	2365	1432
2	"0"	1752	2305
3	"0"	1351	1197
4	"0"	2495	1112
5	"0"	3883	1364
6	"1"	3933	1202
7	"1"	3849	1363
8	"1"	2770	3502
9	"0"	1146	2047
10	"1"	3033	1104
11	"0"	1131	1603
12	"1"	2414	1670
13	"0"	2927	1857
14	"1"	3399	2925
15	"1"	2783	1442
16	"1"	3126	1624
17	"1"	3692	2205
18	"1"	3204	2279
19	"0"	2879	1514
20	"0"	3298	1649
21	"1"	2878	1884
22	"1"	2205	4113
23	"1"	3116	2786
24	"0"	2542	1964
25	"0"	1730	2050
26	"1"	2657	2053
27	"1"	4520	2543
28	"1"	5232	1916
29	"1"	4866	2292
30	"1"	2142	1346
31	"1"	2133	1535
32	"1"	2978	3428
33	"0"	1144	1255
34	"0"	2931	1735
35	"1"	2323	1744
36	"1"	1491	1366
37	"0"	3034	1476
38	"0"	758	246
39	"1"	4383	4305
40	"0"	2523	2050
41	"1"	4221	3127
42	"0"	3314	879
43	"1"	2693	1768
44	"0"	1236	1090
45	"0"	3253	1572
46	"0"	1733	1827
47	"1"	3097	3535
48	"1"	3811	2714
49	"1"	4417	585
50	"0"	2497	2024
51	"0"	2002	1755
52	"1"	5709	3374
53	"0"	2361	1528
54	"1"	2568	1058
55	"0"	1747	1667
56	"0"	1812	1603
57	"1"	4628	2321
58	"0"	2246	1619
59	"1"	1262	2905
60	"1"	654	2389
61	"0"	2194	1954
62	"0"	2917	865
63	"0"	1155	1070
64	"0"	1319	767
65	"1"	3947	1433
66	"1"	2869	2269
67	"0"	1870	1936
68	"0"	1110	1906
69	"0"	2643	1160
70	"0"	1228	1245
71	"1"	1521	1439
72	"1"	3757	1338
73	"0"	1445	1012
74	"1"	2002	2291
75	"1"	3835	2002
76	"1"	1371	2559
77	"1"	3574	3167
78	"1"	3453	740
79	"0"	857	1438
80	"1"	4701	3206
81	"1"	2617	1824
82	"0"	3712	1600
83	"0"	1697	1336
84	"0"	2688	1806
85	"0"	2977	1257
86	"0"	2436	1046
87	"1"	2284	2085
88	"0"	2200	1873
89	"0"	3151	1159
90	"1"	2922	3159
91	"1"	4793	1921
92	"0"	3236	1786
93	"0"	1936	1722
94	"1"	3097	2124
95	"0"	1005	1130
96	"1"	2987	2126
97	"1"	3446	3747
98	"1"	3284	2742
99	"1"	3231	2935
100	"1"	4050	3480
101	"1"	3954	1916
102	"0"	705	1286
103	"0"	1777	1572
104	"1"	3856	3499
105	"0"	1239	1932
106	"1"	3015	2182
107	"0"	2109	1412
108	"0"	3578	2239
109	"0"	998	1636
110	"1"	3982	2140
111	"0"	2027	1836
112	"0"	3445	1254
113	"1"	3336	2118
114	"1"	2108	3137
115	"0"	2870	1377
116	"1"	3206	2567
117	"0"	988	1147
118	"1"	3153	1837
119	"1"	3328	940
120	"1"	2851	1537
121	"1"	3950	1576
122	"1"	3465	2150
123	"0"	1601	812
124	"1"	3785	3376
125	"1"	3571	3332
126	"0"	2284	1432
127	"1"	2940	1624
128	"0"	1153	1003
129	"0"	939	1316
130	"0"	830	1316
131	"1"	2542	1925
132	"1"	2507	1916
133	"0"	3021	1861
134	"0"	3263	2039
135	"0"	2767	1399
136	"0"	982	1952
137	"1"	2097	1551
138	"0"	2697	1821
139	"1"	3041	2160
140	"1"	4021	1153
141	"1"	3274	1269
142	"0"	3090	1349
143	"0"	1050	1958
144	"1"	2058	2282
145	"0"	1743	1436
146	"1"	2594	1589
147	"1"	2340	2539
148	"0"	1109	1564
149	"0"	1751	987
150	"1"	4040	3533
151	"0"	3068	699
152	"0"	3877	1856
153	"0"	1678	1111
154	"1"	5434	2939
155	"0"	2076	1022
156	"1"	2175	1192
157	"0"	2838	581
158	"1"	4154	3635
159	"0"	803	930
160	"0"	3908	1464
161	"0"	3530	1522
162	"0"	2336	1738
163	"0"	3796	1726
164	"0"	1276	976
165	"0"	1811	1597
166	"1"	2551	2708
167	"0"	912	1286
168	"0"	1408	1968
169	"0"	2051	2027
170	"1"	3178	3009
171	"1"	2787	667
172	"0"	2810	1642
173	"1"	2614	1410
174	"1"	1109	1738
175	"1"	3709	1389
176	"0"	3098	1354
177	"0"	2189	1273
178	"1"	2347	2425
179	"0"	2265	1656
180	"1"	4747	1335
181	"1"	3220	2779
182	"0"	1406	1628
183	"0"	1438	993
184	"0"	1639	1635
185	"1"	2483	1995
186	"1"	5434	3394
187	"1"	4024	2548
188	"0"	4170	856
189	"1"	3916	2208
190	"1"	1435	732
191	"0"	1120	1336
192	"1"	2921	3398
193	"0"	2947	1490
194	"1"	2690	1115
195	"0"	2948	1470
196	"0"	2101	1306
197	"1"	4101	2600
198	"1"	3141	613
199	"0"	1643	1989
200	"1"	3447	681
