artistName,trackID,trackName,rank,streams,frequency,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,isrc,spotifyArtistID,releaseDate,daysSinceRelease,spotifyFollowers,mbid,artistCountry,indicator,spotify_followers,weeks_since_release
dj mustard,01gNiOqg8u7vT90uVgOVmz,Whole Lotta Lovin',120,917710,3,43.8,0.399,4,-8.752,0.0623,0.154,0.00000845,0.0646,0.382,160.159,299160,5,QMJMT1500808,0YinUQ50QDB7ZxSCLyQ40k,08.01.2016,450,139718,0612bcce-e351-40be-b3d7-2bb5e1c23479,US,1,0.139718,64.2857142857143
bing crosby,01h424WG38dgY34vkI3Yd0,White Christmas,70,1865526,9,22.5,0.248,9,-15.871,0.0337,0.912,0.000143,0.404,0.185,96.013,183613,4,USMC14750470,6ZjFtWeHP9XN7FeKSUe80S,27.08.2007,1000,123135,2437980f-513a-44fc-80f1-b90d9d7fcf8f,US,1,0.123135,142.857142857143
post malone,02opp1cycqiFNDpLd2o1J3,Big Lie,129,1480436,1,32.5,0.689,6,-4.951,0.243,0.197,0,0.0722,0.225,77.917,207680,4,USUM71614468,246dkjvS1zLTtiykXe5h60,09.12.2016,114,629600,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,0,1,0.6296,16.2857142857143
chris brown,02yRHV9Cgk8CUS2fx9lKVC,Anyway,130,894216,1,46.9,0.664,7,-7.16,0.121,0.0566,0.00000158,0.482,0.267,124.746,211413,4,USRC11502943,7bXgB6jMjp9ATFy66eO08Z,11.12.2015,478,4077185,c234fa42-e6a6-443e-937e-2f4b073538a3,US,1,4.077185,68.2857142857143
5 seconds of summer,0375PEO6HIwCHx5Y2sowQm,Waste The Night,182,642784,1,28.6,0.907,8,-4.741,0.113,0.0144,0,0.268,0.271,75.64,266640,4,GBUM71505159,5Rl15oVamLq7FbSb0NNBNy,23.10.2015,527,2221348,830e5c4e-6b7d-431d-86ab-00c751281dc5,AU,1,2.221348,75.2857142857143
rihanna,046irIGshCqu24AjmEWZtr,Same Ol’ Mistakes,163,809256,2,44.7,0.795,8,-5.435,0.0443,0.211,0.00169,0.0725,0.504,151.277,397093,4,QM5FT1600108,5pKCCKE2ajJHZ9KAiaK11H,29.01.2016,429,9687258,73e5e69d-3554-40d8-8516-00cb38737a1c,0,1,9.687258,61.2857142857143
justin bieber,048thBsGA2IfiubeNWC0v2,I'll Show You,12,3490456,2,33.7,0.615,9,-6.615,0.0937,0.0426,0.0000167,0.193,0.0729,191.541,199973,4,USUM71516758,1uNFoZAHBGtllmzznpCI3s,13.11.2015,506,8713999,e0140a67-e4d1-4f13-8a01-364355bee46e,CA,1,8.713999,72.2857142857143
hearts & colors,04CttTezSnv71USiiG9mIo,Lighthouse - Andrelli Remix,86,1737890,12,59.5,0.662,11,-6.858,0.0362,0.0178,0,0.0804,0.415,96.053,218447,4,SE4RG1600601,3wjsrpfO6odEphTZWx45RQ,21.11.2016,132,39723,32e3baa6-9f20-42c6-9ad0-5ef2454fd3f1,0,1,0.039723,18.8571428571429
kanye west,04mf1OkXHZ6TPBNM9sBcSm,Famous,67,1914768,17,47.2,0.746,6,-3.649,0.119,0.072,0,0.116,0.442,173.955,196040,4,USUM71603020,5K4W6rqBFWDnAN6FQUkS6x,15.06.2016,291,4422933,164f0d73-1234-4e2c-8743-d77bf2191051,0,1,4.422933,41.5714285714286
sia,05cXQMJcrM9msUYu11mOrs,Alive,77,1056689,11,32,0.752,6,-4.91,0.056,0.289,0.000101,0.102,0.398,98.88,263893,4,USRC11502101,5WUlDfRSoLAfcVSX1WnrxN,24.09.2015,556,3462797,2f548675-008d-4332-876c-108b0c7ab9c5,AU,1,3.462797,79.4285714285714
robin schulz,06Hdbxh6NCy6TIhjdXTchB,Headlights (feat. Ilsey),77,893669,4,59.7,0.685,11,-6.371,0.0367,0.0245,0.000335,0.182,0.379,122.002,209208,4,DEA621500407,3t5xRXzsuZmMDkQzgOX35S,17.04.2015,716,678200,163218c2-9e0f-4d2d-aecb-ebbdef6aab70,0,1,0.6782,102.285714285714
5 seconds of summer,08N1v3HwtbhYzYRUhnsvJh,Fly Away,103,771532,1,42.1,0.886,2,-3.117,0.0513,0.000699,0,0.136,0.546,92.861,212555,4,GBUM71505162,5Rl15oVamLq7FbSb0NNBNy,14.08.2015,597,2221352,830e5c4e-6b7d-431d-86ab-00c751281dc5,AU,1,2.221352,85.2857142857143
justin bieber,09mhA1SJjMHniZPF4Hcihn,Company,10,3758086,30,59,0.797,4,-4.901,0.0614,0.132,0,0.0846,0.421,94.948,208120,4,USUM71516762,1uNFoZAHBGtllmzznpCI3s,13.11.2015,506,8714004,e0140a67-e4d1-4f13-8a01-364355bee46e,CA,1,8.714004,72.2857142857143
logic,0aAk9KMmPChiS2EG9Fg7IX,Never Been,145,788626,1,46.1,0.784,10,-6.21,0.0628,0.0995,0.00000771,0.585,0.647,100.076,247133,4,USUM71516285,4xRYI6VqpkE3UwrDrAZL8L,13.11.2015,506,941252,713e751f-3ddb-4b77-b3b1-9e6f2e953ad5,US,1,0.941252,72.2857142857143
drake,0AAyo5bMIVgVxv9DF6XV2B,Keep The Family Close,44,2963606,8,30.2,0.565,9,-7.663,0.073,0.137,0,0.381,0.204,76.278,328907,4,USCM51600061,3TVXtAsR1Inumwj472S9r4,06.05.2016,331,9338907,9fff2f8a-21e6-47de-a2b8-7f449929d43f,CA,1,9.338907,47.2857142857143
