week,song_id,streams,treated_post,post,treated,major_label,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,audience_age,artist_fame,ig_followers,n_playlists,playlist_followers,n_postings
2018-01-08,1,10442,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1167460,282,2233426,0
2018-01-15,1,10136,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1171384,286,2261456,0
2018-01-22,1,9932,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1177604,288,2280955,0
2018-01-29,1,10657,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1180752,291,2296750,0
2018-02-05,1,10852,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1181204,293,2334596,0
2018-02-12,1,10958,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1182301,301,2346333,0
2018-02-19,1,10351,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1183781,303,2369463,0
2018-02-26,1,10840,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1191841,304,2392989,6
2018-03-05,1,10434,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1201336,303,2409646,13
2018-03-12,1,10270,0,0,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1205029,306,2432243,17
2018-03-19,1,9503,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1205941,312,2473759,8
2018-03-26,1,9653,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1207564,314,2490196,11
2018-04-02,1,9725,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1217658,316,2504386,16
2018-04-09,1,9729,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1225034,318,2521942,17
2018-04-16,1,9238,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1229631,320,2539406,20
2018-04-23,1,9331,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1230735,321,2553502,10
2018-04-30,1,9130,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1231791,320,2570895,16
2018-05-07,1,8756,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1232058,322,2620785,10
2018-05-14,1,7831,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1232305,327,2995060,1
2018-05-21,1,8602,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1232373,331,3012497,0
2018-05-28,1,8583,0,1,0,1,0.832,0.391,-8.504,0.0629,0.0564,0,0.224,0.436,104.961,238.8,rap,36.1042538164829,0,1231585,332,3029357,0
2018-01-08,2,9046,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2959056,45,218596,0
2018-01-15,2,9029,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2960976,46,220696,0
2018-01-22,2,8970,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2963816,46,222813,0
2018-01-29,2,8632,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2962900,46,224741,0
2018-02-05,2,9043,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2961061,46,227423,0
2018-02-12,2,9320,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2960473,46,228696,0
2018-02-19,2,10418,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2959246,46,230354,0
2018-02-26,2,13009,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2958602,47,234624,0
2018-03-05,2,11200,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2957777,48,237172,0
2018-03-12,2,10969,0,0,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2953881,49,239905,0
2018-03-19,2,9950,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2953596,49,241877,0
2018-03-26,2,9982,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2952996,49,243758,0
2018-04-02,2,9983,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2952791,49,245667,0
2018-04-09,2,9125,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2952814,51,270321,0
2018-04-16,2,8880,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2953250,51,272830,0
2018-04-23,2,8782,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2953284,51,274974,0
2018-04-30,2,8620,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2952808,51,277615,0
2018-05-07,2,8244,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2952126,52,294511,0
2018-05-14,2,8245,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2951654,52,296858,0
2018-05-21,2,8428,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2950533,51,288755,0
2018-05-28,2,8896,0,1,0,1,0.828,0.81,-1.282,0.21,0.601,0,0.137,0.479,88.675,238.333,rap,36.1042538164829,0,2949320,51,291152,0
2018-01-08,3,1129,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,38188,18,126101,1
2018-01-15,3,1137,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,38497,19,127609,0
2018-01-22,3,1145,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,38615,19,128767,0
2018-01-29,3,1313,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,38656,19,129917,1
2018-02-05,3,1333,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,38802,20,261876,1
2018-02-12,3,1137,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39014,20,295863,1
2018-02-19,3,1180,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39106,20,297681,0
2018-02-26,3,1197,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39239,21,301287,0
2018-03-05,3,1179,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39258,22,303530,1
2018-03-12,3,1246,0,0,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39269,24,306025,0
2018-03-19,3,3317,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39367,24,308647,0
2018-03-26,3,8507,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39460,24,311508,1
2018-04-02,3,5962,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39492,24,314033,0
2018-04-09,3,4933,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39514,24,316726,1
2018-04-16,3,3689,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39538,24,319278,0
2018-04-23,3,2819,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39558,24,321238,0
2018-04-30,3,2492,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39581,24,324629,0
2018-05-07,3,2444,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39549,24,327427,0
2018-05-14,3,2600,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39568,26,489374,0
2018-05-21,3,2937,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39654,26,492745,1
2018-05-28,3,2606,1,1,1,1,0.467,0.185,-17.389,0.0544,0.792,0.00000389,0.158,0.72,112.676,153.37,other,54.6410611471467,0,39585,26,496162,0
2018-01-08,4,14628,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,736,36,529249,0
2018-01-15,4,14744,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,736,37,702235,1
2018-01-22,4,15829,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,737,38,708571,2
2018-01-29,4,14820,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,734,38,710816,0
2018-02-05,4,15088,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,740,37,552546,2
2018-02-12,4,14824,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,742,37,554284,0
2018-02-19,4,14766,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,741,37,556305,2
2018-02-26,4,15758,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,740,38,558645,2
2018-03-05,4,15892,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13860,38,560926,2
2018-03-12,4,18288,0,0,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13886,40,575058,3
2018-03-19,4,16407,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13924,40,602415,4
2018-03-26,4,17226,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13935,41,607677,5
2018-04-02,4,20026,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13959,41,610094,7
2018-04-09,4,17380,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13978,42,610413,6
2018-04-16,4,19114,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,13998,41,752047,7
2018-04-23,4,18728,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14028,41,756481,6
2018-04-30,4,18975,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14055,41,765871,5
2018-05-07,4,17253,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14069,41,780094,7
2018-05-14,4,16337,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14092,41,789983,11
2018-05-21,4,18434,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14103,42,801541,9
2018-05-28,4,19377,0,1,0,1,0.538,0.742,-7.924,0.038,0.0188,0.09,0.0749,0.273,150.029,348.053,pop,51.0012186465485,1.21030204014317,14152,42,812700,14
2018-01-08,5,14014,0,0,0,1,0.241,0.272,-7.629,0.0297,0.346,0,0.201,0.128,179.336,238.706,rock,49.9250804820375,1.2808432420023,424429,63,520723,3
2018-01-15,5,14509,0,0,0,1,0.241,0.272,-7.629,0.0297,0.346,0,0.201,0.128,179.336,238.706,rock,49.9250804820375,1.2808432420023,425027,63,526669,0
2018-01-22,5,14431,0,0,0,1,0.241,0.272,-7.629,0.0297,0.346,0,0.201,0.128,179.336,238.706,rock,49.9250804820375,1.2808432420023,425137,63,532022,6
2018-01-29,5,14908,0,0,0,1,0.241,0.272,-7.629,0.0297,0.346,0,0.201,0.128,179.336,238.706,rock,49.9250804820375,1.2808432420023,427757,62,536951,6
