isrc,n_playlists,streams,sp_popularity,youtube_views,tiktok_counts,ins_followers_artist,monthly_listeners_artist,playlist_total_reach_artist,sp_fans_artist,shazam_counts,log_n_playlists,log_streams,log_youtube_views,log_tiktok_counts,log_ins_followers_artist,log_monthly_listeners_artist,log_playlist_total_reach_artist,log_sp_fans_artist,log_shazam_counts
BRRGE1603547,450,11944813,51,145030723,9740,29613108,4133393,24286416,3308630,73100,6.10924758276437,16.2958076835337,18.7924561606995,9.18399639663658,17.2037276591084,15.2346091772868,17.0054277396594,15.0120447643932,11.1995836457379
USUM71808193,768,8934097,54,13188411,358700,3693566,18367363,143384531,465412,588550,6.64378973314767,16.005385638234,16.3948490473833,12.7902416635204,15.122102945021,16.726085897622,18.7810406072288,13.0506783137895,13.2854171638406
USIR20400274,20591,72199738,81,20216069,67300,1169284,16224250,80408253,1651866,5281161,9.93260936610815,18.0949469750476,16.8219883411825,11.1169155156328,13.9719021536345,16.6020175945245,18.2026273781349,14.3174161159717,15.4796565178746
USUM71510716,8388,283424,25,288539258,4616,13583019,13582562,90921616,305337,2431018,9.03455739202181,12.5546992886093,19.4803417109114,8.43728380818794,16.424330967611,16.4242973220946,18.3255083306578,12.6291713636497,14.7038206576312
USUG10700436,809,72598,68,84146091,677,4781602,3466005,41531562,397587,184336,6.69579891705849,11.1926926522241,18.2480650247592,6.51767127291228,15.3802861947621,15.0585131918418,17.5419642262649,12.893169057053,12.1245154582778
PHU010710025,152,1479905,61,18963993,2955,128438,1154331,7361179,76504,5875,5.02388052084628,14.2074884544909,16.7580526338836,7.9912539298402,11.7632015766092,13.9590315133457,15.8117306680934,11.2450983060294,8.67846133901236
ES6081942801,81,73419,57,11224714,448,259098,770508,1249496,56494,9167,4.39444915467244,11.2039380366911,16.2336285124261,6.10479323241499,12.464961647493,13.5548053165567,14.0382508279715,10.9418897168052,9.12336535796178
USUM70905541,8082,209865,68,400463302,10200,46775258,41301332,222622597,6223307,1715334,8.99739464563842,12.2542197458355,19.8081326898124,9.23014299927236,17.6608649458762,17.5364053092272,19.2209885055799,15.6438119954536,14.355118371807
PLV401700003,24,554792,40,10499062,2,1071995,1264969,1676276,30431,4283,3.17805383034795,13.2263485477082,16.166796477804,0.693147180559945,13.8850319564229,14.0505581739146,14.3320852242706,10.323217104658,8.36240897761537
USUYG1107545,5174,236069,68,463437,14200,2251755,27499292,176690983,226576,538869,8.55140136274597,12.3718794141565,13.0464257324197,9.56099724358935,14.6272204701387,17.1296708168508,18.9899129059935,12.3308357084628,13.1972277776799
ITB001900391,334,79179806,67,112472010,79300,1222651,4212997,21807632,158075,775189,5.8111409929767,18.1872318495256,18.5382149486529,11.2809934076229,14.0165320100859,15.2536848288792,16.8977705582346,11.9708248829268,13.5608621495715
USSD11400352,3242,864830,29,1203693606,19700,14980543,11780069,88853625,1855716,3029622,8.08394570229562,13.6702882348072,20.9086606713811,9.88837391472608,16.5222627837275,16.281919593556,18.3025009108323,14.4337811633786,14.9239484172281
USWL11900162,637,33226976,62,43246183,919,5332013,2699861,16182947,432359,275014,6.45676965557216,17.3188726340833,17.5824195331123,6.82328612235569,15.4892393983873,14.8087108481679,16.599468591452,12.9770115406401,12.5245772844438
FR2MX2000290,46,379794,59,13061826,2191,1753729,1450169,4508350,1131740,21160,3.8286413964891,12.8473842794472,16.385204488272,7.69211333959547,14.3772549359864,14.1871906593293,15.3214417908795,13.9392668293855,9.95986788597224
MX3601600027,570,260822,71,177873902,1044,1802646,4369645,6104893,1405689,76330,6.3456363608286,12.4715934613051,18.996585441481,6.95081476844258,14.4047661434741,15.290192328074,15.6246011387558,14.1560381320065,11.2428213247925
MXUM71502000,836,15357064,64,153576262,171,3324872,5478079,26917393,373672,203094,6.7286286130847,16.5470861215798,18.8497078224638,5.14166355650266,15.0169417350905,15.5162650500228,17.108283215555,12.8311336862549,12.2214242050346
GBMA21863195,1804,76302285,69,26153425,1800000,12562268,9464531,158557550,134417,826458,7.49776170062257,18.1502134433816,17.0794907150421,14.4032972228664,16.3462082759513,16.0630617904206,18.8816281768625,11.8087021871675,13.6249043782551
USUR10300765,8529,16720,46,1188052,4024,446669,3979036,12553361,52763,3497042,9.05122740031911,9.72436088663869,13.9878255489906,8.30003171177958,13.0095731071259,15.1965501368675,16.3454989964526,10.8735654664732,15.0674280262679
FRUM71702332,97,1415250,53,1713,2,207455,801386,1699828,183262,306184,4.57471097850338,14.1628167518989,7.44600149832412,0.693147180559945,12.2426697276639,13.5940980076031,14.3460376274372,12.1186721019159,12.6319415074113
PLC592000024,228,600029,68,35746619,752,11928241,1556508,4250584,18759,1847006,5.42934562895444,13.3047332663636,17.3919662492054,6.62273632394984,16.2944193397833,14.2579554085872,15.2625669432252,9.83942891623541,14.4290765076872
USUG10400534,1121,1097799,47,1795843,1502,302286,6127323,42470889,146412,213884,7.02197642307216,13.9088178241848,14.4009851075422,7.31455283232408,12.6191288680842,15.6282685077983,17.5643294344933,11.8941798443633,12.2731890909637
ES5702001679,302,19250374,72,27349283,6523,2610214,6657260,37042370,171299,143695,5.71042701737487,16.7730410470808,17.1242008707665,8.7830896717961,14.7749427682749,15.7112185464523,17.4275729505765,12.0511658465836,11.8754482767506
USUYG1334937,784,1651705,32,4737926,509,3234224,9346015,80839757,869239,107675,6.66440902035041,14.3173186456887,15.3711100451745,6.23244801655052,14.9892995807898,16.0504606072059,18.2079794445575,13.6753733952028,11.5868727099223
MXF152000572,855,1107007,84,36715416,10300,3610053,14550980,97362647,2034239,180023,6.75110146893676,13.9171705350674,17.4187072793225,9.23989917421773,15.0992330116417,16.4931689032655,18.3939531940307,14.525632351146,12.1008398994872
USUM71704114,578,746857,60,30029995,823,2883534,18518947,96471048,2049158,299081,6.35957386867238,13.5236290133932,17.2177072734593,6.71295620067707,14.874527183194,16.7343049281145,18.3847535005686,14.5329395350339,12.6084697186953
QM4TW1828127,724,560322,61,181769,3070,3494151,9998515,74102161,618683,216126,6.58479139238572,13.2362668974622,12.1104919291341,8.02943284058124,15.0666009856856,16.1179471399311,18.1209552531339,13.3353483041737,12.2836168499269
AUBEC2004489,30,402679,54,3673537,11100,233505,1334331,5415086,2801,9103,3.40119738166216,12.9058949974788,15.11666551613,9.31470038730042,12.3609587691381,14.1039406006166,15.5046993201009,7.93773177526011,9.11635930850529
RUA591500339,7520,16255064,58,8668,211,58201,1570455,6428709,331229,15644316,8.92532141694389,16.6039150489625,9.06739336265625,5.35185813347607,10.9716578157025,14.2668759442552,15.6762842984503,12.7105652580465,16.565618214091
FIS7H1800010,40,3027747,48,2635274,651,9135,283440,911903,1479,16650,3.68887945411394,14.923329336548,14.7844977193713,6.47850964220857,9.11986846881211,12.5547557395394,13.7232889037508,7.2991214627108,9.72016549540859
USJI19710149,5821,168874,44,304053279,77500,2725893,13737543,102300293,726631,2102149,8.66922734727174,12.0369081537054,19.5327135038827,11.2580332153414,14.8183066388175,16.4356430078074,18.4434230950429,13.4961740623238,14.5584707127784
ITDV91600040,383,14418161,49,253476613,672,647922,719806,2160625,22053,363152,5.94803498918065,16.4839991504816,19.3507821203294,6.51025834052315,13.3815255977189,13.4867370102411,14.585908089658,10.0012039260422,12.8025767583853
FR0U91601096,374,20654904,60,38050908,3980,2137933,1949334,2031271,3294016,430490,5.92425579741453,16.8434633310172,17.454435505325,8.28903709827848,14.5753500323773,14.4829983337408,14.5241722634683,15.0076180470243,12.9726793737764
DEW921401104,644,8570872,61,16979892,878,605682,3883723,19339224,1119964,271449,6.46769872610435,15.9638800356895,16.6475403784032,6.77764659363512,13.3141103748454,15.1723047876215,16.7776459230893,13.9288070998975,12.5115295554071
DECE72000152,87,1139514,53,9041034,89,350696,4061475,18368689,351985,13147,4.46590811865458,13.9461124136828,16.0172841063584,4.48863636973214,12.7676750303033,15.2170567660929,16.7261580882864,12.7713438400359,9.4839488746966
FR7U61800027,120,14812145,59,27096223,17200,533127,1342966,3818881,324700,272094,4.78749174278205,16.5109580103277,17.1149049034429,9.75266466280154,13.1865149486865,14.1103911587292,15.1554680057326,12.6906569580909,12.5139028738116
GBHMU1900137,202,23938,57,100248,860,17301529,4437422,19969029,527133,86413,5.30826769740121,10.0832224334333,11.5154023948451,6.75693238924755,16.6663054370655,15.3055841351465,16.8096930812755,13.1752081675996,11.3668934064367
USSM10602589,5007,33911,73,2988185,2595,5164206,14377518,125273746,848095,1330686,8.51859221232995,10.4314947245109,14.9101767376422,7.86134179559999,15.45726192171,16.4811762945254,18.6460118687819,13.6507479368012,14.101205156698
GBAHT1901303,4828,471676074,83,351582194,721200,62513910,62765113,442817011,5596451,4349688,8.48218758221742,19.9718030240509,19.677954079717,13.4886717703113,17.9508996499438,17.9549099515993,19.9086671749533,15.537643204801,15.2856146763546
USSM19804363,7582,1356,77,128255021,3510,870544,11171734,51853148,1228695,3113956,8.93353229607628,7.21229446850034,18.6695311913463,8.16337131645991,13.6768735825764,16.2288973962399,17.7639262043937,14.0214631885058,14.9514045015396
DEYD21901012,141,3324542,62,10593749,41300,2697955,1390035,2448313,41340,39511,4.94875989037817,15.0168424782236,16.1757746681497,10.6286177789491,14.8080046365892,14.144839484646,14.7109097739182,10.6295858332358,10.5843343931332
GBAHS1700195,3205,9925,66,261825016,464900,7247485,22450955,163109110,1409623,4272174,8.07246736935477,9.20281210555539,19.383186960733,13.0495776076787,15.7961650700966,16.9268437102233,18.9099299213349,14.1588328507165,15.2676333891298
QM4TX1817915,737,4382541,67,160740,5171,38700892,26147576,152858657,2166028,142751,6.60258789218934,15.2931392511245,11.9875434317667,8.55082137239622,17.47137320683,17.079267048194,18.8450242419233,14.588405633514,11.8688571327477
USUM71816223,1866,9431921,6,11264025,11,2802586,7797411,51086903,428626,184726,7.53155238140729,16.0596103454221,16.2371245768377,2.39789527279837,14.8460531203443,15.8693023134842,17.7490387209533,12.9683400228042,12.1266289250946
GBCTA1300112,1653,40055,40,216204,297,5152076,14189559,107774441,2713816,80547,7.41034709782102,10.5980087886492,12.2839776854037,5.6937321388027,15.4549102982103,16.4680169704292,18.4955510918524,14.8138663204685,11.2965961439637
GBUM71806264,1219,70117193,11,70350123,16900,1907103,5570329,28332454,194464,782156,7.10578612948127,18.0656785858412,18.068995089924,9.73506890091116,14.4610958946604,15.5329646765864,17.1595184900108,12.1780023349351,13.5698094881233
SEAYD7601020,10514,99981,80,2126542,3318,329323,14047460,68666054,1829255,2559190,9.26046298137939,11.5127354469179,14.5700077442449,8.10711747075039,12.7047943110514,16.4579521544827,18.0447655157158,14.4194193381032,14.7552013601387
USCM51800045,885,10031,68,383709,24400,4759411,4543466,19859937,251644,1064474,6.78558764500793,9.21343557688349,12.8576397317848,10.1023384112813,15.3756344790554,15.3292007148718,16.8042150443708,12.4357706692817,13.8779913384049
FR7IX1800040,25,956329,40,2388335,596,1126802,1995154,5899927,1315787,55786,3.2188758248682,13.7708572750896,14.6861070284128,6.39024066706535,13.9348940899207,14.5062317983093,15.590450535918,14.0899455236643,10.9292782208324
MX1881300028,533,734360,72,592705294,1844,1530746,4357837,13126642,749348,1042960,6.27852142416584,13.5067546505741,20.2002078587243,7.51969240411654,14.2412657562386,15.287486391309,16.3901544633789,13.5269587740898,13.8575733823367
QM9WM2000056,325,5157740,73,17527783,1559,3239887,13236844,70273330,535176,39742,5.78382518232974,15.4560090570184,16.6792977799891,7.35179986905778,14.9910490106171,16.3985147114788,18.0679029106894,13.1903509437414,10.5901638419658
PLA551800377,19,485555,30,42851156,67800,240884,644620,1039150,3241,45170,2.94443897916644,13.0930478455701,17.5732431804738,11.1243174739285,12.3920707687966,13.3764162748756,13.8539136292472,8.08363720314155,10.7181884286487
USUG11800453,1642,62735245,76,110348602,108200,18761684,27692936,59707763,2547427,521571,7.40367029001237,17.9544339688843,18.5191550218056,11.5917366453945,16.7473272629721,17.1366879205844,17.90497260341,14.7505943881238,13.1646006898894
USSD11600346,620,4469707,61,181161449,9721,57493327,33813770,237805823,6768476,287795,6.42971947803914,15.3128334163429,19.0148991750747,9.18204377282107,17.8671794468591,17.3363786739396,19.286965028885,15.7277865087644,12.5700037001087
USUM71703503,2668,994766,51,71444869,17,10101625,11559297,92214672,275396,310213,7.88908440703551,13.8102628126032,18.0844366473053,2.83321334405622,16.128206859959,16.2630006062105,18.3396298081877,12.525965340843,12.6450144372926
USUM71800031,1579,13106452,58,7923017,3161,90511,5428349,46090378,10002,1374708,7.36454701425564,16.3886151860076,15.885282625597,8.05864371221562,11.4132266692631,15.5071455941117,17.6461147660083,9.21054035197885,14.1337519028941
ARG601200681,339,18623808,66,43013931,300,434782,1441470,6382916,50544,100059,5.82600010738045,16.7399513201818,17.5770345979329,5.7037824746562,12.9826000350282,14.1811739841895,15.6691356041955,10.8305995230419,11.5135152909887
ES5021800105,47,140902,38,9006829,413,1160499,2053023,7853410,156136,48479,3.85014760171006,11.8558198922502,16.013493625352,6.02344759296103,13.9643606429987,14.5348238990557,15.8764583903409,11.958482701311,10.7888859934678
GBFFS1200009,4051,61400,64,98557645,42200,1465486,8326874,19774046,10,1678596,8.30671904320269,11.0251651141352,18.4061521633893,10.6501755000241,14.1976974860339,15.9349986736035,16.7998808277236,2.30258509299405,14.3334682876899
AUHVI1600019,1007,30288,57,26287767,7576,100208,1653515,9029809,11152,640391,6.91473089271856,10.3185068734491,17.0846142558602,8.93274063486591,11.5150033047652,14.318413883029,16.016041773453,9.31937413300031,13.3698342062895
GBARL2000404,190,2100160,53,3450858,136,754032,5690516,49365798,52557,16775,5.24702407216049,14.5575240902675,15.0541334537401,4.91265488573605,13.5331900864078,15.5543114874038,17.7147683941963,10.8696535739039,9.72764496183988
DEVP21900001,294,29112,46,5313652,33,315715,7596554,36933112,409382,60761,5.68357976733868,10.278905739292,15.4857899157657,3.49650756146648,12.6625951868795,15.8432052813775,17.4246190508116,12.9224039844621,11.0147034147705
GBARL1801571,4228,11145297,65,216102284,154600,898726,20139608,166011134,645019,7694296,8.34948434699013,16.2265281731684,19.1912623906022,11.9485964151355,13.7087334839056,16.8181989813115,18.9275654163607,13.3770350527084,15.8559898330906
USUM71819190,413,10336353,9,18712191,3846,115053610,35455996,206569541,7830859,391700,6.02344759296103,16.1511776568981,16.7446857945476,8.25478892614873,18.5609087516153,17.3838029362732,19.1461476739649,15.8735827682077,12.8782515196539
ES5021300133,387,432871,59,30576490,254,515245,2859449,9346707,25999,318683,5.95842469302978,12.9781950411191,17.2357419709748,5.53733426701854,13.1523977946785,14.8661395068926,16.0505346467172,10.1658133547255,12.6719521572821
GBHMU1700016,1981,4515300,6,4194230,131100,13844678,19800114,153919836,3197467,211679,7.59135704669855,15.3229821878086,15.2492203291883,11.7837156697518,16.4434114568231,16.8011982532239,18.8519424793925,14.9778694918189,12.2628262552258
NLW4L1900121,3055,136015400,77,46070398,72,2410403,20848318,192251724,1625363,2155493,8.0245348716057,18.7282786725838,17.6456811759024,4.27666611901606,14.6953045114042,16.8527838314921,19.0743161338001,14.3012417334147,14.5835300256577
PLS431800043,31,9051082,53,63868876,3972,190639,431468,421430,4567,28692,3.43398720448515,16.0183948665407,17.9723427271365,8.28702502516506,12.15813686627,12.9749486268483,12.9514089690855,8.426611813185,10.2643736172463
USUM71919315,323,16283957,67,42014165,331,4279449,10811712,59169400,1344725,166956,5.77765232322266,16.6056909479727,17.5535173812924,5.80211837537706,15.2693348209527,16.1961405489538,17.8959150743277,14.1117000891465,12.0254855836299
USUM71614468,2613,5548,67,97004,19,22930443,44538561,254090709,2786236,191698,7.86825426552061,8.62119278143472,11.4825074937487,2.94443897916644,16.947975974316,17.6118659112339,19.3532018832772,14.8402021389949,12.1636764960111
UKGD81700012,85,1179906,5,33452021,12500,36592,175827,382502,77004,197828,4.44265125649032,13.9809453322518,17.3256227612485,9.43348392329039,10.5075849162626,12.0772558360582,12.8544891609932,11.2516126475385,12.1951532452809
