StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_Rank_Order_1,Q3_Rank_Order_2,Q3_Rank_Order_3,Q3_Rank_Order_4,Q3_Rank_Order_5,Q4_Constant_Sum_1,Q4_Constant_Sum_2,Q4_Constant_Sum_3,Q4_Constant_Sum_4,Q5_Matrix_table_1,Q5_Matrix_table_2,Q5_Matrix_table_3,Q5_Matrix_table_4,Q5_Matrix_table_5,Q6_Bipolar_scale_1,Q6_Bipolar_scale_2,Q6_Bipolar_scale_3,Q7_MC_sa_country,Q7_MC_sa_country_3_TEXT,Q8_MC_SA_Likert_Time,Q9_MC_ma_1,Q9_MC_ma_2,Q9_MC_ma_3,Q9_MC_ma_4,Q10_Slider_1,Q11_Open_ended_EUR_1,Q12_cond_question,Q13_YES_following_q,Q17_1,Q18,Q19,Q21#1_1_1,Q21#2_1_1,Q23_Gender,Q23_Gender_3_TEXT,Q24,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What features are important to you when evaluating fitness trackers? Please order the following items from the most important to the least important. - Measuring steps,What features are important to you when evaluating fitness trackers? Please order the following items from the most important to the least important. - Calories burned,What features are important to you when evaluating fitness trackers? Please order the following items from the most important to the least important. - Measuring heartbeat,What features are important to you when evaluating fitness trackers? Please order the following items from the most important to the least important. - Exercise tracking,What features are important to you when evaluating fitness trackers? Please order the following items from the most important to the least important. - Measuring distance,What factors do you consider when choosing a place to go for a dinner? Please allocate 100 points among the attributes so that your allocation reflects the relative importance you attach to each factor. - Location,What factors do you consider when choosing a place to go for a dinner? Please allocate 100 points among the attributes so that your allocation reflects the relative importance you attach to each factor. - Price,What factors do you consider when choosing a place to go for a dinner? Please allocate 100 points among the attributes so that your allocation reflects the relative importance you attach to each factor. - Ambience,What factors do you consider when choosing a place to go for a dinner? Please allocate 100 points among the attributes so that your allocation reflects the relative importance you attach to each factor. - Customer Service,Please choose the degree to which you feel the following descriptions align with our brand? - Active,Please choose the degree to which you feel the following descriptions align with our brand? - Cool,Please choose the degree to which you feel the following descriptions align with our brand? - Sophisticated,Please choose the degree to which you feel the following descriptions align with our brand? - Masculine,Please choose the degree to which you feel the following descriptions align with our brand? - Funny,How would you judge the product for your personal use? - good:bad,How would you judge the product for your personal use? - pleasant:unpleasant,How would you judge the product for your personal use? - helpful:not helpful,What is your country of origin? - Selected Choice,What is your country of origin? - Other - Text,"During a typical day, in what period of the day you prefer watching movies or TV series on Netflix?",Which of the following store brands do you know? (multiple answers possible) - ja! Natürlich.,Which of the following store brands do you know? (multiple answers possible) - Clever,Which of the following store brands do you know? (multiple answers possible) - Spar Vital,Which of the following store brands do you know? (multiple answers possible) - ...,Slider     What percentage of your disposable income do you spend on groceries? - Percentage groceries,Open-ended questions      How much are you willing to pay for the previously described product? - Willingness-to-pay (in EUR),"Conditional Questions     Sometimes, you may want to ask questions that are only appropriate for a sub-group of respondents. In this case, you may use filters that can be used to show questions depending on an answer to a previous question. Say, you want to ask a follow-up questions only to respondents who answered ""Yes"" to a previous question. First, you would collect the response to the initial question: Initial question:","This is the follow-up questions that is only displayed if the initial question has been answered ""Yes"" (see Option ""Add Display Logic"" in the question menu. Follow-up question:","After exposing respondents to the experimental conditions, you may collect data on the response variable. Because you have automatically recorded the experimental condition which respondents were assigned to, you may later test for diferences between experimental groups in the response variable (e.g., using an independent-means t-test). For example, you may ask:   How much are you willing to pay for the product under the previously described conditions? - Willingness to pay (in EUR):","In a within-subjects design, you manipulate the independent variable using the same participants (a.k.a. repeated-measures designs). This means, you collect information twice from the same respondents under the different experimental conditions. For example, at the beginning of the questionnaire, you may show respondents the current advertising of Brand X and ask for the purchase probability:     Please consider the follwing advertisement:     A     How likely are you to purchase Brand X in the following 6 months?","At a later stage in the questionnaire, you may show the respondent the new advertisement of Brand X and ask for the purchase likelihood again.       Please consider the follwing advertisement:     B     How likely are you to purchase Brand X in the following 6 months?","You may also, for example, ask about the  willingness-to-pay under two different conditions using... - Here you may include the experimental treatment (e.g., video, text, pictures) - Willingness-to-pay (in EUR) - A","You may also, for example, ask about the  willingness-to-pay under two different conditions using... - Here you may include the experimental treatment (e.g., video, text, pictures) - Willingness-to-pay (in EUR) - B",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,"In a typical week, how many hours do you spend using fitness tracker?",Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_3_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID22"",""choiceId"":""1""}","{""ImportId"":""QID22"",""choiceId"":""2""}","{""ImportId"":""QID22"",""choiceId"":""3""}","{""ImportId"":""QID22"",""choiceId"":""4""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID12#1_1_1""}","{""ImportId"":""QID12#2_1_1""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_3_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""Condition""}"
25- 5-2 2   3:2 :45 PM,25- 5-2 2   3:22:22 PM,1,,1,96,1,25- 5-2 2   3:22:23 PM,R_2P5PIcN9kqNJNCG,,,,,44.5384 6372 7 3,18.667 98999 234,preview,EN,2,4,1,5,3,32,23,32,13,2,3,4,4,4,7,2,5,2,,3, ,1, ,1,57,153,1,2,23,5,7,12,54,2,,3,A
 4- 6-2 2   2:56:36 AM, 4- 6-2 2   2:58:26 AM,1,,1,11,1, 4- 6-2 2   2:58:26 AM,R_3JgUt8HfVB6vFXf,,,,,48.19819641,16.39169312,preview,EN,1,3,5,2,4,25,30,22,23,1,2,3,4,5,4,3,4,2,,4,1,1, , ,42,7,2,,5,6,6,4,3,2,,4,B
 4- 6-2 2   3: 1:58 AM, 4- 6-2 2   3: 4:52 AM,1,,1,173,1, 4- 6-2 2   3: 4:52 AM,R_zerJWBGzioeaoLv,,,,,48.19819641,16.39169312,preview,EN,1,2,4,5,3,19,21,30,30,4,4,3,4,4,3,6,7,1,,5,1, , ,1,84,7,1,2,21,6,2,21,32,2,,5,A
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,20,40,4,4,1,2,4,,,,1,,4,1, ,1,,33,52,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,5,4,3,1,2,30,30,10,30,4,4,2,3,4,,,,1,,5,1, ,1,1,54,117,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,4,2,1,3,5,0,20,20,60,4,1,4,5,3,,,,1,,2,1, ,1, ,17,44,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,2,5,4,3,0,30,40,30,3,3,1,2,3,,,,2,,3,1, ,1,1,41,86,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,40,0,40,1,4,4,1,1,,,,2,,4, ,1,1, ,49,67,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,30,30,1,1,2,1,5,,,,2,,4,1, , ,1,15,141,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,20,40,20,1,1,2,2,4,,,,2,,4,1,1,1,1,35,135,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,20,40,1,2,1,1,1,,,,2,,3,1,1, , ,24,68,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,50,20,1,3,3,4,1,,,,2,,3,1,1, , ,34,132,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,60,0,2,1,3,5,2,,,,2,,2,1,1,1,1,49,65,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,40,20,40,4,5,5,1,3,,,,1,,4,1,1, ,1,20,166,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,30,20,30,3,1,5,1,4,,,,2,,5, , ,1, ,11,135,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,40,30,20,5,2,1,3,3,,,,2,,5,1,1,1,1,30,16,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,30,30,1,1,5,1,3,,,,1,,4,1, , ,,28,129,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,3,5,20,30,10,40,4,4,4,5,2,,,,2,,5,1,1, ,1,37,116,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,4,3,5,30,30,20,20,2,3,4,3,1,,,,2,,3,1, , ,,60,137,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,20,40,5,1,1,1,4,,,,2,,4,1,1,1,1,74,140,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,10,40,30,1,2,5,5,1,,,,2,,1,1, , ,,29,88,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,4,1,5,3,10,20,20,50,5,4,1,5,2,,,,2,,5,1,1, ,1,49,129,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,30,10,40,1,1,5,4,5,,,,2,,2,1,1,1, ,37,51,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,30,10,40,4,1,1,3,1,,,,1,,2, , ,1,,31,168,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,1,3,4,5,0,60,30,10,2,4,3,1,1,,,,1,,4, , ,1,,29,3,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,5,4,3,1,2,0,20,50,30,2,3,2,2,1,,,,1,,2, , , ,1,21,94,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,4,2,1,3,5,10,30,30,30,5,4,3,1,1,,,,2,,4,1,1,1,,39,4,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,10,30,30,30,4,5,2,5,1,,,,2,,3,1,1, ,1,36,97,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,3,2,3,2,4,,,,2,,5, , , , ,37,66,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,30,20,10,40,5,5,1,3,5,,,,2,,2,1, ,1, ,78,93,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,20,40,40,1,4,4,5,3,,,,1,,1,1,1, ,1,38,112,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,80,20,0,4,1,2,3,2,,,,2,,4,1,1,1,1,29,87,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,40,20,20,5,1,2,4,3,,,,2,,1,1, ,1, ,50,59,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,3,5,20,20,30,30,4,3,2,5,5,,,,1,,5, ,1, ,1,10,51,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,3,5,10,30,20,40,3,5,3,4,4,,,,2,,4,1,1, ,,33,1,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,50,40,10,4,5,1,5,2,,,,2,,4,1, ,1,1,19,145,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,60,10,10,2,1,4,5,4,,,,1,,3,1,1,1,,48,185,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,1,3,4,5,10,30,30,30,4,1,2,5,3,,,,2,,2, ,1, , ,74,153,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,5,4,3,1,2,10,30,40,20,3,1,5,3,1,,,,2,,4,1, , , ,30,185,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,4,2,1,3,5,0,20,30,50,1,1,5,4,2,,,,1,,1,1,1,1,1,26,70,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,10,50,3,2,1,3,3,,,,2,,3,1,1,1, ,52,96,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,50,30,20,1,3,4,3,2,,,,1,,2, , ,1,,27,129,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,10,50,4,4,1,2,2,,,,2,,3,1,1,1, ,91,160,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,0,60,40,3,1,4,5,4,,,,2,,5, , ,1,1,51,138,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,40,40,20,4,1,5,2,2,,,,1,,3, , , ,1,56,40,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,50,20,3,4,3,1,5,,,,2,,4,1,1,1,,36,101,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,20,20,50,1,5,2,5,2,,,,2,,3, ,1, ,1,13,155,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,50,10,40,1,4,3,2,2,,,,1,,3,1,1, ,,87,62,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,5,2,4,40,40,20,0,4,5,4,5,1,,,,2,,1,1,1, , ,24,38,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,30,20,40,3,2,1,1,4,,,,2,,4,1,1,1,,10,156,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,10,50,4,1,3,3,1,,,,2,,4,1, , , ,29,13,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,20,30,1,5,5,3,1,,,,2,,1,1, ,1,,24,60,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,30,20,50,1,1,1,5,4,,,,2,,5,1, , ,1,74,112,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,0,100,0,0,3,5,5,5,2,,,,1,,2,1,1,1,,34,106,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,30,40,20,3,4,2,5,2,,,,2,,4,1,1, , ,22,63,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,50,30,20,5,4,2,2,2,,,,2,,3,1,1,1, ,22,165,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,30,20,2,4,1,4,1,,,,2,,1,1,1,1,,31,103,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,60,20,20,5,3,5,3,1,,,,2,,2,1, , , ,23,81,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,60,20,20,4,1,2,2,3,,,,1,,5,1,1,1, ,35,98,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,0,60,4,4,5,5,4,,,,2,,3,1, , , ,67,62,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,50,20,30,1,2,5,1,2,,,,2,,3,1,1,1,1,70,68,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,50,30,20,2,3,5,1,4,,,,1,,1, , ,1,1,42,62,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,10,50,40,3,4,5,3,4,,,,2,,5,1, , , ,32,172,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,10,20,10,60,1,2,2,3,5,,,,2,,2, ,1,1, ,24,176,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,30,20,40,4,3,3,3,1,,,,2,,4,1,1,1,1,25,77,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,30,20,5,2,1,1,5,,,,1,,4,1,1,1,,21,194,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,30,30,10,30,4,5,3,1,3,,,,2,,3,1, ,1,1,59,101,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,25,20,35,2,2,2,3,4,,,,2,,2, ,1,1,,23,178,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,20,40,3,5,1,2,4,,,,1,,5, ,1, ,1,14,199,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,10,40,50,2,5,1,1,2,,,,2,,1,1,1,1,,49,81,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,10,20,10,60,4,1,1,3,5,,,,2,,1, , ,1, ,39,9,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,1,4,5,30,20,10,40,4,3,4,3,4,,,,2,,4,1,1, , ,35,145,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,20,30,20,30,4,3,2,4,2,,,,1,,3,1,1,1,1,17,25,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,60,20,0,1,5,4,5,1,,,,2,,4, , , , ,17,133,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,20,20,40,3,4,5,3,5,,,,2,,4, ,1,1, ,31,86,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,30,10,50,5,5,5,4,3,,,,1,,2,1, ,1,1,49,128,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,10,30,40,2,4,3,1,1,,,,2,,4, ,1,1,,82,200,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,40,60,0,2,3,2,5,5,,,,2,,4,1, ,1, ,13,148,,,,,,,,2,,4,
