"","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","lambda","alpha","rmse","trees"
"1",0.01,3,3,0.5,0.5,0,1,100,21602.060547,3999
"2",0.01,3,3,0.5,0.5,1,1,100,21602.060547,3999
"3",0.01,3,3,0.5,0.5,10,1,100,21602.0607423,3999
"4",0.01,3,3,0.5,0.5,100,1,100,21602.0609376,3999
"5",0.01,3,3,0.5,0.5,1000,1,100,21602.0609376,3999
"6",0.01,3,3,0.5,0.5,0,1,10000,21625.601172,3998
"7",0.01,3,3,0.5,0.5,1,1,10000,21625.601172,3998
"8",0.01,3,3,0.5,0.5,10,1,10000,21625.601172,3998
"9",0.01,3,3,0.5,0.5,100,1,10000,21625.601172,3998
"10",0.01,3,3,0.5,0.5,1000,1,10000,21625.6017579,3998
"11",0.01,3,3,0.5,0.5,1,1,0.1,21643.3330076,3999
"12",0.01,3,3,0.5,0.5,10,1,0.1,21643.3330076,3999
"13",0.01,3,3,0.5,0.5,0,1,0.1,21643.3332029,3999
"14",0.01,3,3,0.5,0.5,100,1,0.1,21643.3332029,3999
"15",0.01,3,3,0.5,0.5,1000,1,0.1,21643.3332029,3999
"16",0.01,3,3,0.5,0.5,0,1,0.01,21644.1511721,3999
"17",0.01,3,3,0.5,0.5,1,1,0.01,21644.1511721,3999
"18",0.01,3,3,0.5,0.5,10,1,0.01,21644.1511721,3999
"19",0.01,3,3,0.5,0.5,100,1,0.01,21644.1511721,3999
"20",0.01,3,3,0.5,0.5,1000,1,0.01,21644.1511721,3999
"21",0.01,3,3,0.5,0.5,0,1,1,21645.1365234,3999
"22",0.01,3,3,0.5,0.5,1,1,1,21645.1365234,3999
"23",0.01,3,3,0.5,0.5,10,1,1,21645.1365234,3999
"24",0.01,3,3,0.5,0.5,100,1,1,21645.1365234,3999
"25",0.01,3,3,0.5,0.5,1000,1,1,21646.5474609,3999
"26",0.01,3,3,0.5,0.5,100,1,0,21650.9216799,3999
"27",0.01,3,3,0.5,0.5,1,1,0,21650.9218752,3999
"28",0.01,3,3,0.5,0.5,0,1,0,21650.9220705,3999
"29",0.01,3,3,0.5,0.5,10,1,0,21650.9220705,3999
"30",0.01,3,3,0.5,0.5,1000,1,0,21650.9220705,3999
"31",0.01,3,3,0.5,0.5,0,0,0.01,21911.4818359,3999
"32",0.01,3,3,0.5,0.5,1,0,0.01,21911.4818359,3999
"33",0.01,3,3,0.5,0.5,100,0,0.01,21911.4818359,3999
"34",0.01,3,3,0.5,0.5,10,0,0.01,21911.4820313,3999
"35",0.01,3,3,0.5,0.5,1000,0,0.01,21911.4820313,3999
"36",0.01,3,3,0.5,0.5,0,0,0,21911.4824218,3999
"37",0.01,3,3,0.5,0.5,1,0,0,21911.4824218,3999
"38",0.01,3,3,0.5,0.5,100,0,0,21911.4824218,3999
"39",0.01,3,3,0.5,0.5,1000,0,0,21911.4824218,3999
"40",0.01,3,3,0.5,0.5,10,0,0,21911.4826171,3999
"41",0.01,3,3,0.5,0.5,0,0,0.1,21911.5195311,3999
"42",0.01,3,3,0.5,0.5,1,0,0.1,21911.5195311,3999
"43",0.01,3,3,0.5,0.5,10,0,0.1,21911.5195311,3999
"44",0.01,3,3,0.5,0.5,100,0,0.1,21911.5195311,3999
"45",0.01,3,3,0.5,0.5,1000,0,0.1,21911.5195311,3999
"46",0.01,3,3,0.5,0.5,100,0.01,10000,21920.3857422,3486
"47",0.01,3,3,0.5,0.5,0,0.01,10000,21920.3859375,3486
"48",0.01,3,3,0.5,0.5,1,0.01,10000,21920.3859375,3486
"49",0.01,3,3,0.5,0.5,10,0.01,10000,21920.3859375,3486
"50",0.01,3,3,0.5,0.5,1000,0.01,10000,21920.3859375,3486
"51",0.01,3,3,0.5,0.5,1,0.01,100,21925.9488281,3988
"52",0.01,3,3,0.5,0.5,100,0.01,100,21925.9488281,3988
"53",0.01,3,3,0.5,0.5,1000,0.01,100,21925.9488281,3988
"54",0.01,3,3,0.5,0.5,0,0.01,100,21925.9490234,3988
"55",0.01,3,3,0.5,0.5,10,0.01,100,21925.9490234,3988
"56",0.01,3,3,0.5,0.5,0,0.01,0.01,21934.9011719,3988
"57",0.01,3,3,0.5,0.5,100,0.01,0.01,21934.9011719,3988
"58",0.01,3,3,0.5,0.5,1000,0.01,0.01,21934.9011719,3988
"59",0.01,3,3,0.5,0.5,1,0.01,0.01,21934.9013672,3988
"60",0.01,3,3,0.5,0.5,10,0.01,0.01,21934.9013672,3988
"61",0.01,3,3,0.5,0.5,0,0.01,0,21935.0759765,3988
"62",0.01,3,3,0.5,0.5,1,0.01,0,21935.0759765,3988
"63",0.01,3,3,0.5,0.5,10,0.01,0,21935.0759765,3988
"64",0.01,3,3,0.5,0.5,100,0.01,0,21935.0759765,3988
"65",0.01,3,3,0.5,0.5,1000,0.01,0,21935.0759765,3988
"66",0.01,3,3,0.5,0.5,0,0.1,10000,21937.4601563,3483
"67",0.01,3,3,0.5,0.5,1,0.1,10000,21937.4601563,3483
"68",0.01,3,3,0.5,0.5,10,0.1,10000,21937.4601563,3483
"69",0.01,3,3,0.5,0.5,100,0.1,10000,21937.4601563,3483
"70",0.01,3,3,0.5,0.5,1000,0.1,10000,21937.4601563,3483
"71",0.01,3,3,0.5,0.5,1000,0.01,0.1,21948.4941407,3988
"72",0.01,3,3,0.5,0.5,0,0.01,0.1,21948.494336,3988
"73",0.01,3,3,0.5,0.5,1,0.01,0.1,21948.494336,3988
"74",0.01,3,3,0.5,0.5,10,0.01,0.1,21948.494336,3988
"75",0.01,3,3,0.5,0.5,100,0.01,0.1,21948.4945313,3988
"76",0.01,3,3,0.5,0.5,10,0,1,21950.6121093,3749
"77",0.01,3,3,0.5,0.5,0,0,1,21950.6123047,3749
"78",0.01,3,3,0.5,0.5,1,0,1,21950.6123047,3749
"79",0.01,3,3,0.5,0.5,100,0,1,21950.6123047,3749
"80",0.01,3,3,0.5,0.5,1000,0,1,21950.6123047,3749
"81",0.01,3,3,0.5,0.5,0,0,100,21957.1460938,3555
"82",0.01,3,3,0.5,0.5,1,0,100,21957.1460938,3555
"83",0.01,3,3,0.5,0.5,10,0,100,21957.1460938,3555
"84",0.01,3,3,0.5,0.5,100,0,100,21957.1460938,3555
"85",0.01,3,3,0.5,0.5,1000,0,100,21957.1460938,3555
"86",0.01,3,3,0.5,0.5,0,0.01,1000,21965.5390625,3999
"87",0.01,3,3,0.5,0.5,1,0.01,1000,21965.5390625,3999
"88",0.01,3,3,0.5,0.5,10,0.01,1000,21965.5390625,3999
"89",0.01,3,3,0.5,0.5,100,0.01,1000,21965.5390625,3999
"90",0.01,3,3,0.5,0.5,1000,0.01,1000,21965.5390625,3999
"91",0.01,3,3,0.5,0.5,0,0.01,1,21969.7552734,3747
"92",0.01,3,3,0.5,0.5,1,0.01,1,21969.7552734,3747
"93",0.01,3,3,0.5,0.5,10,0.01,1,21969.7552734,3747
"94",0.01,3,3,0.5,0.5,100,0.01,1,21969.7552734,3747
"95",0.01,3,3,0.5,0.5,1000,0.01,1,21969.7552734,3747
"96",0.01,3,3,0.5,0.5,0,0,10000,21994.3740234,3545
"97",0.01,3,3,0.5,0.5,1,0,10000,21994.3740234,3545
"98",0.01,3,3,0.5,0.5,10,0,10000,21994.3740234,3545
"99",0.01,3,3,0.5,0.5,100,0,10000,21994.3740234,3545
"100",0.01,3,3,0.5,0.5,1000,0,10000,21994.3740234,3545
"101",0.01,3,3,0.5,0.5,0,1,1000,22001.463086,2556
"102",0.01,3,3,0.5,0.5,1,1,1000,22001.463086,2556
"103",0.01,3,3,0.5,0.5,10,1,1000,22001.463086,2556
"104",0.01,3,3,0.5,0.5,100,1,1000,22001.463086,2556
"105",0.01,3,3,0.5,0.5,1000,1,1000,22001.463086,2556
"106",0.01,3,3,0.5,0.5,1,0.1,100,22023.6064452,3823
"107",0.01,3,3,0.5,0.5,100,0.1,100,22023.6064453,3823
"108",0.01,3,3,0.5,0.5,0,0.1,100,22023.6066406,3823
"109",0.01,3,3,0.5,0.5,10,0.1,100,22023.6066406,3823
"110",0.01,3,3,0.5,0.5,1000,0.1,100,22023.6066406,3823
"111",0.01,3,3,0.5,0.5,0,0,1000,22025.1091796,3749
"112",0.01,3,3,0.5,0.5,1,0,1000,22025.1091796,3749
"113",0.01,3,3,0.5,0.5,10,0,1000,22025.1091796,3749
"114",0.01,3,3,0.5,0.5,100,0,1000,22025.1091796,3749
"115",0.01,3,3,0.5,0.5,1000,0,1000,22025.1091796,3749
"116",0.01,3,3,0.5,0.5,0,0.1,1000,22052.9285156,3551
"117",0.01,3,3,0.5,0.5,1,0.1,1000,22052.9285156,3551
"118",0.01,3,3,0.5,0.5,10,0.1,1000,22052.9285156,3551
"119",0.01,3,3,0.5,0.5,100,0.1,1000,22052.9285156,3551
"120",0.01,3,3,0.5,0.5,1000,0.1,1000,22052.9285156,3551
"121",0.01,3,3,0.5,0.5,0,0.1,1,22070.746289,3486
"122",0.01,3,3,0.5,0.5,1,0.1,1,22070.746289,3486
"123",0.01,3,3,0.5,0.5,10,0.1,1,22070.746289,3486
"124",0.01,3,3,0.5,0.5,100,0.1,1,22070.7464843,3486
"125",0.01,3,3,0.5,0.5,1000,0.1,1,22070.7464843,3486
"126",0.01,3,3,0.5,0.5,0,0.1,0,22090.2759764,3486
"127",0.01,3,3,0.5,0.5,1,0.1,0,22090.2759764,3486
"128",0.01,3,3,0.5,0.5,10,0.1,0,22090.2759764,3486
"129",0.01,3,3,0.5,0.5,100,0.1,0,22090.2759764,3486
"130",0.01,3,3,0.5,0.5,1000,0.1,0,22090.2759764,3486
"131",0.01,3,3,0.5,0.5,0,0.1,0.01,22090.2769531,3486
"132",0.01,3,3,0.5,0.5,1,0.1,0.01,22090.2769531,3486
"133",0.01,3,3,0.5,0.5,10,0.1,0.01,22090.2769531,3486
"134",0.01,3,3,0.5,0.5,100,0.1,0.01,22090.2769531,3486
"135",0.01,3,3,0.5,0.5,1000,0.1,0.01,22090.2769531,3486
"136",0.01,3,3,0.5,0.5,10,0.1,0.1,22097.8421875,3486
"137",0.01,3,3,0.5,0.5,1000,0.1,0.1,22097.8421875,3486
"138",0.01,3,3,0.5,0.5,0,0.1,0.1,22097.8423828,3486
"139",0.01,3,3,0.5,0.5,1,0.1,0.1,22097.8423828,3486
"140",0.01,3,3,0.5,0.5,100,0.1,0.1,22097.8423828,3486
"141",0.3,3,3,0.5,0.5,0,1000,1000,23065.8298828,2017
"142",0.3,3,3,0.5,0.5,1,1000,1000,23065.8298828,2017
"143",0.3,3,3,0.5,0.5,10,1000,1000,23065.8298828,2017
"144",0.3,3,3,0.5,0.5,100,1000,1000,23065.8298828,2017
"145",0.3,3,3,0.5,0.5,1000,1000,1000,23065.8298828,2017
