"unit_sales"	"group"	"sales_date"
6	1	2012-05-19
27	1	2012-05-20
30	1	2012-05-21
24	1	2012-05-22
21	1	2012-05-23
11	1	2012-05-24
18	1	2012-05-25
15	1	2012-05-26
18	1	2012-05-27
13	1	2012-05-28
6	1	2012-05-29
6	1	2012-05-30
3	1	2012-05-31
9	1	2012-06-01
6	1	2012-06-02
4	1	2012-06-03
6	1	2012-06-04
9	1	2012-06-05
12	1	2012-06-06
6	1	2012-06-07
5	1	2012-06-08
3	1	2012-06-09
6	1	2012-06-10
6	1	2012-06-11
6	1	2012-06-12
5	1	2012-06-13
3	1	2012-06-14
6	1	2012-06-15
6	1	2012-06-16
6	1	2012-06-17
12	1	2012-06-18
6	1	2012-06-19
6	1	2012-06-20
6	1	2012-06-21
6	1	2012-06-22
3	1	2012-06-23
4	1	2012-06-24
6	1	2012-06-25
4	1	2012-06-26
2	1	2012-06-27
3	1	2012-06-28
6	1	2012-06-29
4	1	2012-06-30
3	1	2012-07-01
3	1	2012-07-02
15	1	2012-07-03
10	1	2012-07-04
9	1	2012-07-05
3	1	2012-07-06
12	1	2012-07-07
2	1	2012-07-08
9	2	2012-05-19
12	2	2012-05-20
30	2	2012-05-21
18	2	2012-05-22
20	2	2012-05-23
15	2	2012-05-24
2	2	2012-05-25
3	2	2012-05-26
3	2	2012-05-27
9	2	2012-05-28
3	2	2012-05-29
2	2	2012-05-30
12	2	2012-05-31
1	2	2012-06-01
3	2	2012-06-02
9	2	2012-06-03
6	2	2012-06-04
3	2	2012-06-05
6	2	2012-06-06
12	2	2012-06-07
6	2	2012-06-08
6	2	2012-06-09
15	2	2012-06-10
9	2	2012-06-11
3	2	2012-06-12
3	2	2012-06-13
2	2	2012-06-14
9	2	2012-06-15
0	2	2012-06-16
0	2	2012-06-17
6	2	2012-06-18
9	2	2012-06-19
3	2	2012-06-20
3	2	2012-06-21
3	2	2012-06-22
3	2	2012-06-23
3	2	2012-06-24
0	2	2012-06-25
6	2	2012-06-26
6	2	2012-06-27
6	2	2012-06-28
0	2	2012-06-29
2	2	2012-06-30
0	2	2012-07-01
0	2	2012-07-02
3	2	2012-07-03
6	2	2012-07-04
3	2	2012-07-05
0	2	2012-07-06
3	2	2012-07-07
3	2	2012-07-08
