"sales_date"	"unit_sales_low_price"	"unit_sales_high_price"
"2012-05-19"	6	9
"2012-05-20"	27	12
"2012-05-21"	30	30
"2012-05-22"	24	18
"2012-05-23"	21	20
"2012-05-24"	11	15
"2012-05-25"	18	2
"2012-05-26"	15	3
"2012-05-27"	18	3
"2012-05-28"	13	9
"2012-05-29"	6	3
"2012-05-30"	6	2
"2012-05-31"	3	12
"2012-06-01"	9	1
"2012-06-02"	6	3
"2012-06-03"	4	9
"2012-06-04"	6	6
"2012-06-05"	9	3
"2012-06-06"	12	6
"2012-06-07"	6	12
"2012-06-08"	5	6
"2012-06-09"	3	6
"2012-06-10"	6	15
"2012-06-11"	6	9
"2012-06-12"	6	3
"2012-06-13"	5	3
"2012-06-14"	3	2
"2012-06-15"	6	9
"2012-06-16"	6	0
"2012-06-17"	6	0
"2012-06-18"	12	6
"2012-06-19"	6	9
"2012-06-20"	6	3
"2012-06-21"	6	3
"2012-06-22"	6	3
"2012-06-23"	3	3
"2012-06-24"	4	3
"2012-06-25"	6	0
"2012-06-26"	4	6
"2012-06-27"	2	6
"2012-06-28"	3	6
"2012-06-29"	6	0
"2012-06-30"	4	2
"2012-07-01"	3	0
"2012-07-02"	3	0
"2012-07-03"	15	3
"2012-07-04"	10	6
"2012-07-05"	9	3
"2012-07-06"	3	0
"2012-07-07"	12	3
"2012-07-08"	2	3
