"sales"	"adspend"	"airplay"	"starpower"	"genre"	"country"
330	10.256	43	10	3	1
300	174.093	40	7	3	1
250	1000	5	7	2	1
120	75.896	34	6	1	0
290	1351.254	37	9	3	0
60	202.705	13	8	1	0
140	365.985	23	6	3	0
290	305.268	54	6	2	1
160	263.268	18	7	3	0
100	513.694	2	7	3	0
160	152.609	11	6	3	0
150	35.987	30	8	1	0
290	1720.806	32	7	3	0
140	102.568	22	7	1	0
230	215.368	36	6	3	0
230	426.784	37	8	2	1
30	507.772	9	3	3	0
80	233.291	2	7	3	0
190	1035.433	12	8	1	0
90	102.642	5	9	3	0
120	526.142	14	7	3	0
150	624.538	20	5	1	0
230	912.349	57	6	2	0
70	611.479	20	2	3	0
150	215.994	19	8	3	0
210	561.963	35	7	3	1
180	474.76	22	5	3	0
140	231.523	16	7	3	0
360	678.596	53	7	3	1
10	70.922	4	6	1	0
240	1567.548	29	6	2	0
270	263.598	43	7	2	0
290	1423.568	26	7	3	0
220	715.678	28	7	3	0
150	251.192	24	8	1	0
230	777.237	37	8	3	0
220	509.43	32	5	2	0
240	964.11	34	7	3	0
260	583.627	30	7	2	0
170	923.373	15	7	3	0
130	344.392	23	7	1	0
270	1095.578	31	8	2	1
140	100.025	21	5	3	0
60	30.425	28	1	1	0
210	1080.342	18	7	2	0
190	97.972	38	6	1	0
210	799.899	28	7	3	0
240	1071.752	37	8	2	0
210	893.355	26	6	2	0
200	283.161	30	8	3	0
140	917.017	10	7	3	0
90	234.568	21	7	1	0
120	456.897	18	9	3	0
100	206.973	14	7	3	0
360	1294.099	38	7	3	0
180	826.859	36	6	3	0
240	406.814	24	7	3	1
150	564.158	32	7	1	0
110	192.607	9	5	3	0
90	10.652	39	5	3	0
160	45.689	24	7	3	0
230	42.568	45	7	3	1
40	20.456	13	8	1	0
60	635.192	17	6	3	0
230	1002.273	32	7	3	0
230	1177.047	23	6	3	0
120	507.638	0	6	3	0
100	265.398	25	5	3	0
150	215.689	35	5	3	0
120	526.48	26	6	3	0
60	26.895	19	6	3	0
280	883.877	26	7	2	1
120	9.104	53	8	1	0
230	103.568	29	8	2	1
230	169.583	28	7	2	0
40	429.504	17	6	3	0
140	223.639	26	8	3	0
360	145.585	42	8	3	0
250	1323.287	35	5	3	1
210	985.968	17	6	3	0
260	500.922	36	8	3	0
250	226.652	45	7	2	0
200	1051.168	20	7	3	0
150	68.093	15	7	3	0
250	1547.159	28	8	3	0
100	393.774	27	6	1	0
260	804.282	17	8	2	0
210	801.577	32	8	3	0
290	450.562	46	9	3	1
210	196.65	36	8	3	0
220	26.598	47	8	2	0
70	179.061	19	1	3	0
110	345.687	22	8	3	0
250	295.84	55	9	2	0
320	2271.86	31	5	2	1
300	1134.575	39	8	3	0
180	601.434	21	6	1	0
180	45.298	36	6	3	0
200	759.518	21	7	3	1
320	832.869	44	7	3	0
280	1326.598	27	8	2	0
140	56.894	27	7	1	0
100	709.399	16	6	3	0
120	56.895	33	6	3	0
230	767.134	33	8	2	1
150	503.172	21	7	1	0
250	700.929	35	9	3	0
190	910.851	26	7	3	0
240	888.569	14	6	3	1
250	800.615	34	6	3	1
230	1500	11	8	3	0
120	985.685	28	7	1	0
230	1380.689	33	8	2	0
110	785.694	20	9	3	0
210	792.345	33	7	3	0
230	957.167	28	6	3	1
320	1789.659	30	9	3	1
210	656.137	34	7	2	0
230	613.697	49	7	2	0
250	313.362	40	8	3	1
60	336.51	20	4	1	0
330	1544.899	42	7	3	0
150	68.954	35	8	3	0
360	1445.563	35	7	3	1
150	785.692	8	6	1	0
180	125.628	49	7	3	0
80	377.925	19	8	1	0
180	217.994	42	6	3	0
130	759.862	6	7	3	0
320	1163.444	36	6	2	0
280	842.957	32	7	3	1
200	125.179	28	6	3	1
130	236.598	25	8	1	0
190	669.811	34	8	1	0
270	1188.193	33	7	2	0
150	612.234	21	6	3	0
230	922.019	34	7	2	0
310	50	63	7	2	1
340	2000	31	7	2	0
240	1054.027	25	7	2	0
180	385.045	42	7	1	0
220	1507.972	37	7	2	0
40	102.568	25	8	3	0
190	204.568	26	7	1	0
290	1170.918	39	7	2	1
220	574.513	44	5	2	0
340	689.547	46	7	3	1
250	784.22	36	6	2	1
190	405.913	12	4	3	0
120	179.778	2	8	3	0
230	607.258	29	8	3	0
190	1542.329	33	8	1	0
210	1112.47	28	7	3	0
170	856.985	10	6	1	0
310	836.331	38	7	3	1
90	236.908	19	4	3	0
170	568.954	19	5	1	0
140	1077.855	13	6	3	0
300	579.321	30	7	3	0
340	1500	38	8	2	0
170	731.364	22	8	3	0
100	25.689	23	6	3	0
200	391.749	22	9	3	1
80	233.999	20	7	3	0
100	275.7	18	6	3	0
70	56.895	37	7	1	0
50	255.117	16	8	1	0
70	471.814	20	1	3	0
240	566.501	32	8	2	0
160	102.568	26	5	3	0
290	250.568	53	9	3	0
140	68.594	28	7	3	0
210	642.786	32	7	3	0
300	1500	24	7	3	1
230	102.563	37	6	2	0
280	756.984	30	8	2	0
160	51.229	19	7	3	0
200	644.151	47	6	3	0
210	537.352	22	9	3	1
110	15.313	22	5	3	0
110	243.237	10	8	1	0
70	256.894	1	4	3	0
100	22.464	1	6	1	0
190	45.689	39	6	3	0
70	724.938	8	5	3	0
360	1126.461	38	7	2	0
360	1985.119	35	5	2	0
300	1837.516	40	5	3	0
120	135.986	22	7	1	0
200	514.068	21	7	3	0
150	237.703	27	8	3	0
220	976.641	31	6	2	0
280	1452.689	19	7	2	0
300	1600	24	9	3	0
140	268.598	1	7	1	0
290	900.889	38	8	3	0
180	982.063	26	6	1	0
140	201.356	11	6	1	0
210	746.024	34	6	2	0
250	1132.877	55	7	3	1
