StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q2_3_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q13_1,Q13_2,Q13_3,Q13_4,Q15,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q6,Q6_4_TEXT,Q12_1,Q14,Q15,Q16,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever conducted a marketing research project? [multiple answers possible] - Selected Choice,Have you ever conducted a marketing research project? [multiple answers possible] - Other: - Text,"How would you rate your theoretical knowledge of the following research methods: - Hypothesis testing (e.g., t-test, chi-square test)",How would you rate your theoretical knowledge of the following research methods: - Analysis of variance,How would you rate your theoretical knowledge of the following research methods: - Regression analysis,How would you rate your theoretical knowledge of the following research methods: - Factor analysis,"Imagine you were asked to perform statistical analyses using a statistical software package of your choice (e.g., MS Excel, SPSS, Stata, R). Which of the following types of analyses would you be able to perform on your own? - Hypothesis testing (t-test, chi-square test)","Imagine you were asked to perform statistical analyses using a statistical software package of your choice (e.g., MS Excel, SPSS, Stata, R). Which of the following types of analyses would you be able to perform on your own? - Analysis of variance","Imagine you were asked to perform statistical analyses using a statistical software package of your choice (e.g., MS Excel, SPSS, Stata, R). Which of the following types of analyses would you be able to perform on your own? - Regression","Imagine you were asked to perform statistical analyses using a statistical software package of your choice (e.g., MS Excel, SPSS, Stata, R). Which of the following types of analyses would you be able to perform on your own? - Factor analysis",How would you rate your overall knowledge in marketing research methods? - 1,To what extent do you agree with the following statements: - I would feel comfortable conducting statistical analyses on my own.,"To what extent do you agree with the following statements: - If I wanted to, I could easily conduct statistical analysis on my own.",To what extent do you agree with the following statements: - I would be able to conduct statistical analyses even if there was no one around to show me how to use it.,"To what extent do you agree with the following statements: - Overall, it would be really complicated for me to conduct statistical analyses on my own.","On a scale from 0 (no knowledge) to 100 (proficient knowledge), how would you rate your knowledge in marketing research methods? [please enter a number between 0 and 100]",Please rate your prior knowledge in working with the following statstical software packages/programming languages - SPSS,Please rate your prior knowledge in working with the following statstical software packages/programming languages - R,Please rate your prior knowledge in working with the following statstical software packages/programming languages - Stata,Please rate your prior knowledge in working with the following statstical software packages/programming languages - MS Excel,Please rate your prior knowledge in working with the following statstical software packages/programming languages - SAS,Please rate your prior knowledge in working with the following statstical software packages/programming languages - Python,Do you have a preference for a particular statistical software package/programming language for the marketing research course? - Selected Choice,Do you have a preference for a particular statistical software package/programming language for the marketing research course? - Other: - Text,How would you rate the importance of analytic skills for your future career? - 1,Your gender:,Country in which you obtained your bachelor's degree:,Which group of the marketing research course are you in?,"Is there anything you’re particularly interested in when it comes to marketing research (e.g., a specific method you would like to learn more about)?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_3_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID8_TEXT""}"
2020-10-01 10:22:59,2020-10-01 10:25:14,0,137.208.216.243,100,134,1,2020-10-01 10:25:15,R_sN04PjxtCINkx8d,,,,,48.1981964111328125,16.391693115234375,anonymous,EN,4,,3,3,3,3,2,2,2,2,3,2,1,1,4,60,1,3,3,2,1,1,2,,4,2,1,1,"Please good explanation of the tools! Thank you! "
2020-10-01 10:59:08,2020-10-01 11:01:35,0,212.95.5.104,100,147,1,2020-10-01 11:01:36,R_etFjdrEoiuFW9MJ,,,,,48.20489501953125,16.3661956787109375,anonymous,EN,1,,2,1,3,2,4,2,4,2,1,2,2,2,4,30,1,2,1,3,1,1,2,,3,2,1,2,
2020-10-01 11:51:20,2020-10-01 12:00:23,0,153.206.44.76,100,542,1,2020-10-01 12:00:23,R_12ffeAmb47abiGF,,,,,35.67779541015625,139.70819091796875,anonymous,EN,1,,3,2,2,2,1,4,3,4,2,1,1,1,5,30,1,1,2,2,1,2,2,,5,2,2,2,"The most useful marketing research method in reality. More focus on the practice than the theories, for example, how R or Python be used when facing a real project."
2020-10-01 12:12:30,2020-10-01 12:16:34,0,212.95.8.240,100,243,1,2020-10-01 12:16:34,R_2tln3oakBkxOXQJ,,,,,48.2169036865234375,16.49969482421875,anonymous,EN,4,,1,2,1,1,2,3,1,1,1,1,3,1,4,40,1,1,1,4,1,1,7,,4,2,1,2,"I have not had the opportunity to learn a lot about marketing research so far, that’s why a general overview of the most used methods would be nice."
2020-10-01 12:14:36,2020-10-01 12:17:33,0,185.69.244.110,100,176,1,2020-10-01 12:17:33,R_2fJOrbsRaKtgMTd,,,,,48.203094482421875,16.3527069091796875,anonymous,EN,1,,2,2,2,2,4,4,4,4,2,3,2,3,4,40,2,1,1,4,1,1,1,,5,2,1,1,
2020-10-01 12:25:44,2020-10-01 12:29:12,0,185.69.244.212,100,207,1,2020-10-01 12:29:12,R_2bK4w2y7ZbiJ8Tc,,,,,48.203094482421875,16.3527069091796875,anonymous,EN,1,,2,2,2,1,4,4,4,2,2,4,2,2,2,50,2,2,1,3,1,1,2,,4,2,1,1,
2020-10-01 12:44:27,2020-10-01 12:47:14,0,89.144.212.32,100,166,1,2020-10-01 12:47:14,R_31YIIRtoJIGJWJ2,,,,,48.20489501953125,16.3661956787109375,anonymous,EN,"1,2",,2,2,2,2,3,3,3,3,2,3,3,2,3,40,3,1,1,4,1,1,1,,4,2,1,2,
2020-10-01 12:51:32,2020-10-01 13:02:16,0,46.125.249.41,100,643,1,2020-10-01 13:02:16,R_1JJdUWgGqJpxPx9,,,,,48.216705322265625,16.399993896484375,anonymous,EN,1,,2,3,2,2,3,3,2,2,1,3,2,2,3,30,3,2,1,3,1,1,1,,4,2,1,1,"revision of the basics of when to use ANOVA, t-test, etc. and how to interpret the corresponding output "
